# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr  8 12:52:49 2014
#
# CONSTRAINT:  where (pl_dens > 0
# CONSTRAINT:  )
#
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_radj:        Planet Radius (val)
# COLUMN pl_radjerr1:    Planet Radius (upper unc)
# COLUMN pl_radjerr2:    Planet Radius (lower unc)
# COLUMN pl_radjlim:     Planet Radius (limit flag)
# COLUMN pl_dens:        Planet Density (val)
# COLUMN pl_denserr1:    Planet Density (upper unc)
# COLUMN pl_denserr2:    Planet Density (lower unc)
# COLUMN pl_denslim:     Planet Density (limit flag)
# COLUMN pl_name:        Planet Name
#
rowid,pl_discmethod,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_name
700,Transit,0.633,0.027,-0.027,0,0.03000,0.02000,-0.01000,0,Kepler-51 b
701,Transit,0.803,0.250,-0.152,0,0.03000,0.02000,-0.03000,0,Kepler-51 c
702,Transit,0.865,0.045,-0.045,0,0.04600,0.00900,-0.00900,0,KOI-620.02
614,Transit,1.695,0.028,-0.032,0,0.11100,0.01100,-0.00900,0,Kepler-12 b
1633,Transit,1.740,0.260,-0.230,0,0.12200,0.07200,-0.04300,0,WASP-17 b
1682,Transit,2.090,0.140,-0.140,0,0.13000,0.03000,-0.03000,0,WASP-79 b
184,Transit,1.730,0.062,-0.062,0,0.15000,0.01000,-0.01000,0,HAT-P-40 b
784,Transit,0.548,0.026,-0.026,0,0.15200,0.01900,-0.01900,0,Kepler-87 c
601,Transit,1.478,0.050,-0.051,0,0.16600,0.01900,-0.02000,0,Kepler-7 b
1643,Transit,1.549,0.050,-0.050,0,0.17200,0.01900,-0.01900,0,WASP-31 b
1672,Transit,1.430,0.100,-0.060,0,0.17300,0.02700,-0.02700,0,WASP-63 b
1651,Transit,1.270,0.040,-0.040,0,0.18600,0.02700,-0.02700,0,WASP-39 b
1663,Transit,1.653,0.090,-0.083,0,0.18800,0.02900,-0.02500,0,WASP-54 b
176,Transit,1.789,0.025,-0.025,0,0.19000,0.04000,-0.04000,0,HAT-P-32 b
183,Transit,1.571,0.108,-0.081,0,0.19000,0.04000,-0.04000,0,HAT-P-39 b
654,Transit,0.785,0.045,-0.045,0,0.19000,0.02000,-0.02000,0,Kepler-30 d
177,Transit,1.686,0.045,-0.045,0,0.20000,0.03000,-0.03000,0,HAT-P-33 b
185,Transit,1.685,0.076,-0.051,0,0.20000,0.03000,-0.03000,0,HAT-P-41 b
1613,Transit,1.799,0.063,-0.063,0,0.20900,0.02900,-0.02900,0,TrES-4 b
