# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,
# Mon Apr  7 18:24:44 2014,,,,,,,,,,
#,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius (val),,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius (upper unc),,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius (lower unc),,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius (limit flag),,,,,,,,,,
# COLUMN st_dist:        Distance (val),,,,,,,,,,
# COLUMN st_disterr1:    Distance (upper unc),,,,,,,,,,
# COLUMN st_disterr2:    Distance (lower unc),,,,,,,,,,
# COLUMN st_distlim:     Distance (limit flag),,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,
# COLUMN pl_disc:        Year of Discovery,,,,,,,,,,
#,,,,,,,,,,
rowid,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_name,pl_disc
1,,,,,77.4,4.03,-4.5,0,4 UMa b,2006
2,,,,,56.95,2.36,-2.58,0,6 Lyn b,2008
3,,,,,19.84,0.27,-0.28,0,7 CMa b,2011
4,,,,,110.62,9.61,-11.63,0,11 Com b,2007
5,,,,,119.47,6.22,-6.95,0,11 UMi b,2009
6,,,,,76.39,3.93,-4.38,0,14 And b,2008
7,,,,,18.15,0.19,-0.2,0,14 Her b,2002
8,,,,,21.41,0.24,-0.24,0,16 Cyg B b,1996
9,,,,,73.1,3.56,-3.94,0,18 Del b,2008
10,,,,,74.79,4.57,-5.21,0,24 Sex b,2010
11,,,,,74.79,4.57,-5.21,0,24 Sex c,2010
12,,,,,39.43,1.64,-1.79,0,30 Ari B b,2009
13,,,,,97.28,4.34,-4.76,0,42 Dra b,2008
14,,,,,14.08,0.13,-0.13,0,47 UMa b,1996
15,,,,,14.08,0.13,-0.13,0,47 UMa c,2001
16,,,,,14.08,0.13,-0.13,0,47 UMa d,2009
17,,,,,15.36,0.18,-0.18,0,51 Peg b,1995
18,,,,,12.53,0.13,-0.13,0,55 Cnc b,1996
19,,,,,12.53,0.13,-0.13,0,55 Cnc c,2004
20,,,,,12.53,0.13,-0.13,0,55 Cnc d,2002
21,0.178,0.012,-0.012,0,12.53,0.13,-0.13,0,55 Cnc e,2011
22,,,,,12.53,0.13,-0.13,0,55 Cnc f,2007
23,,,,,8.52,0.05,-0.05,0,61 Vir b,2009
24,,,,,8.52,0.05,-0.05,0,61 Vir c,2009
25,,,,,8.52,0.05,-0.05,0,61 Vir d,2009
26,,,,,18.11,0.24,-0.24,0,70 Vir b,1996
27,,,,,81.5,6.87,-8.27,0,75 Cet b,2012
28,,,,,97.18,8.37,-10.11,0,81 Cet b,2008
29,,,,,45.52,1.77,-1.92,0,91 Aqr b,2013
30,,,,,45.52,1.64,-1.76,0,AB Pic b,2005
31,2.2,0.81,-0.6,0,165,30,-30,0,CT Cha b,2007
