# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 14 20:26:19 2014
#
# CONSTRAINT:  where (pl_radj > 0
# CONSTRAINT:  and pl_disc > 2008
# CONSTRAINT:  )
#
# COLUMN pl_radj:        Planet Radius (val)
# COLUMN pl_radjerr1:    Planet Radius (upper unc)
# COLUMN pl_radjerr2:    Planet Radius (lower unc)
# COLUMN pl_radjlim:     Planet Radius (limit flag)
# COLUMN pl_disc:        Year of Discovery
#
rowid,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_disc
71,0.920,0.390,-0.360,0,2009
91,1.388,0.046,-0.047,0,2009
92,1.166,0.035,-0.035,0,2009
93,0.150,0.008,-0.008,0,2009
96,1.050,0.040,-0.040,0,2009
141,0.203,0.007,-0.007,0,2009
154,0.959,0.029,-0.021,0,2009
155,1.271,0.079,-0.079,0,2009
598,0.357,0.019,-0.019,0,2009
599,1.431,0.041,-0.052,0,2009
600,1.323,0.026,-0.029,0,2009
601,1.478,0.050,-0.051,0,2009
1622,1.224,0.051,-0.052,0,2009
1629,1.389,0.045,-0.056,0,2009
1631,1.428,0.077,-0.077,0,2009
1632,1.008,0.083,-0.060,0,2009
1633,1.740,0.260,-0.230,0,2009
1634,1.165,0.057,-0.057,0,2009
1635,1.386,0.032,-0.032,0,2009
95,0.570,0.020,-0.020,0,2010
97,0.970,0.070,-0.070,0,2010
98,1.430,0.030,-0.030,0,2010
99,1.440,0.130,-0.130,0,2010
100,0.885,0.014,-0.014,0,2010
101,1.090,0.070,-0.070,0,2010
157,1.150,0.052,-0.052,0,2010
158,1.072,0.043,-0.043,0,2010
159,1.289,0.066,-0.066,0,2010
160,1.010,0.029,-0.029,0,2010
162,0.995,0.052,-0.052,0,2010
163,1.132,0.072,-0.072,0,2010
164,0.867,0.033,-0.033,0,2010
165,1.024,0.092,-0.092,0,2010
166,1.080,0.058,-0.058,0,2010
167,1.368,0.090,-0.090,0,2010
168,1.242,0.067,-0.067,0,2010
169,1.190,0.081,-0.056,0,2010
170,0.565,0.072,-0.032,0,2010
367,0.200,0.009,-0.008,0,2010
579,1.220,,,0,2010
602,1.419,0.056,-0.058,0,2010
603,0.842,0.069,-0.069,0,2010
604,0.823,0.067,-0.067,0,2010
605,0.146,0.017,-0.012,0,2010
608,0.161,0.003,-0.004,0,2010
609,0.256,0.004,-0.005,0,2010
610,0.278,0.005,-0.006,0,2010
611,0.374,0.006,-0.008,0,2010
612,0.222,0.004,-0.006,0,2010
613,0.297,0.005,-0.007,0,2010
677,1.170,0.040,-0.040,0,2010
749,1.110,0.020,-0.020,0,2010
1604,1.164,0.045,-0.045,0,2010
1624,1.038,0.007,-0.047,0,2010
1636,1.070,0.060,-0.060,0,2010
1637,1.158,0.061,-0.038,0,2010
1638,0.962,0.047,-0.056,0,2010
1639,1.300,0.039,-0.038,0,2010
1640,1.220,0.060,-0.050,0,2010
1641,1.281,0.075,-0.075,0,2010
1642,0.792,0.056,-0.035,0,2010
1643,1.549,0.050,-0.050,0,2010
1644,1.180,0.070,-0.070,0,2010
1645,1.497,0.045,-0.045,0,2010
1646,1.220,0.110,-0.080,0,2010
1649,1.160,0.070,-0.060,0,2010
1650,1.094,0.029,-0.028,0,2010
1652,1.200,0.060,-0.060,0,2010
21,0.178,0.012,-0.012,0,2011
102,1.170,0.160,-0.140,0,2011
103,1.020,0.070,-0.070,0,2011
104,1.310,0.180,-0.180,0,2011
105,1.290,0.030,-0.030,0,2011
106,0.840,0.040,-0.040,0,2011
107,1.050,0.130,-0.130,0,2011
171,1.020,0.070,-0.060,0,2011
172,1.212,0.113,-0.082,0,2011
173,1.107,0.136,-0.082,0,2011
174,1.340,0.065,-0.065,0,2011
175,1.070,0.240,-0.160,0,2011
176,1.789,0.025,-0.025,0,2011
177,1.686,0.045,-0.045,0,2011
178,1.197,0.128,-0.092,0,2011
179,1.332,0.098,-0.098,0,2011
180,1.264,0.071,-0.071,0,2011
181,1.178,0.077,-0.077,0,2011
606,0.126,0.003,-0.003,0,2011
607,0.199,0.005,-0.005,0,2011
614,1.695,0.028,-0.032,0,2011
615,1.830,,,0,2011
616,1.136,0.073,-0.054,0,2011
617,0.960,0.060,-0.070,0,2011
618,0.754,0.003,-0.003,0,2011
619,1.310,0.020,-0.020,0,2011
620,0.178,0.009,-0.009,0,2011
621,0.490,0.023,-0.023,0,2011
622,0.623,0.029,-0.029,0,2011
623,0.197,0.004,-0.004,0,2011
625,0.170,0.011,-0.019,0,2011
626,0.274,0.018,-0.028,0,2011
627,0.245,0.015,-0.027,0,2011
628,0.077,0.007,-0.009,0,2011
629,0.092,0.009,-0.012,0,2011
630,0.146,0.003,-0.004,0,2011
631,0.212,0.012,-0.012,0,2011
632,0.170,,,0,2011
633,0.285,,,0,2011
635,0.214,,,0,2011
636,0.250,,,0,2011
639,0.232,,,0,2011
640,0.401,,,0,2011
642,0.321,,,0,2011
643,0.321,,,0,2011
646,0.357,,,0,2011
647,0.437,,,0,2011
648,0.321,,,0,2011
649,0.303,,,0,2011
650,0.321,0.045,-0.045,0,2011
651,0.259,0.036,-0.036,0,2011
655,0.491,0.098,-0.098,0,2011
656,0.473,0.098,-0.098,0,2011
658,0.196,0.018,-0.018,0,2011
659,0.178,0.018,-0.018,0,2011
663,0.155,0.016,-0.016,0,2011
664,0.285,0.027,-0.027,0,2011
665,0.477,0.044,-0.044,0,2011
666,0.359,0.034,-0.034,0,2011
667,0.398,0.037,-0.037,0,2011
668,0.764,0.012,-0.014,0,2011
669,0.728,0.014,-0.014,0,2011
676,1.220,0.120,-0.100,0,2011
678,0.890,0.050,-0.050,0,2011
679,0.070,0.020,-0.020,0,2011
680,0.065,0.018,-0.018,0,2011
681,0.051,0.016,-0.016,0,2011
682,1.200,0.060,-0.060,0,2011
683,1.240,0.070,-0.070,0,2011
684,0.960,0.110,-0.110,0,2011
747,0.068,,,0,2011
748,0.077,,,0,2011
1605,1.144,0.035,-0.035,0,2011
1614,1.209,0.021,-0.021,0,2011
1647,1.320,0.050,-0.050,0,2011
1648,1.281,0.029,-0.029,0,2011
1651,1.270,0.040,-0.040,0,2011
1654,0.930,0.070,-0.090,0,2011
1655,1.140,0.110,-0.110,0,2011
1656,1.160,0.280,-0.140,0,2011
1657,1.310,0.051,-0.051,0,2011
1659,1.670,0.100,-0.100,0,2011
1661,1.153,0.048,-0.048,0,2011
143,0.370,0.050,-0.050,0,2012
182,0.825,0.092,-0.063,0,2012
183,1.571,0.108,-0.081,0,2012
184,1.730,0.062,-0.062,0,2012
185,1.685,0.076,-0.051,0,2012
186,1.280,0.153,-0.153,0,2012
187,1.281,0.062,-0.033,0,2012
189,1.302,0.162,-0.098,0,2012
591,1.110,0.032,-0.022,0,2012
592,1.286,0.065,-0.047,0,2012
652,0.348,0.018,-0.018,0,2012
653,1.097,0.036,-0.036,0,2012
654,0.785,0.045,-0.045,0,2012
660,0.241,0.009,-0.009,0,2012
661,0.134,0.009,-0.009,0,2012
662,0.072,0.004,-0.004,0,2012
670,0.133,0.003,-0.003,0,2012
671,0.328,0.005,-0.005,0,2012
675,0.384,0.010,-0.010,0,2012
685,0.808,0.042,-0.043,0,2012
688,0.270,0.011,-0.011,0,2012
689,0.411,0.018,-0.018,0,2012
690,0.191,,,0,2012
691,0.280,,,0,2012
694,0.243,,,0,2012
695,0.227,,,0,2012
698,0.153,0.004,-0.009,0,2012
699,0.194,0.006,-0.007,0,2012
700,0.633,0.027,-0.027,0,2012
701,0.803,0.250,-0.152,0,2012
703,0.187,,,0,2012
704,0.164,,,0,2012
706,0.258,,,0,2012
707,0.283,,,0,2012
709,0.187,,,0,2012
710,0.110,,,0,2012
712,0.217,,,0,2012
713,0.197,,,0,2012
717,0.581,0.026,-0.025,0,2012
718,0.874,0.041,-0.041,0,2012
719,0.195,,,0,2012
720,0.138,,,0,2012
721,0.248,,,0,2012
722,0.255,,,0,2012
724,0.098,,,0,2012
725,0.177,,,0,2012
726,0.203,,,0,2012
727,0.220,,,0,2012
728,0.227,,,0,2012
736,0.551,0.015,-0.015,0,2012
737,0.127,0.003,-0.003,0,2012
738,0.230,0.005,-0.005,0,2012
739,0.136,0.004,-0.004,0,2012
742,0.206,0.005,-0.008,0,2012
743,0.085,0.003,-0.004,0,2012
755,0.231,0.073,-0.073,0,2012
756,0.247,0.079,-0.079,0,2012
759,0.236,0.010,-0.010,0,2012
760,0.249,0.012,-0.012,0,2012
763,0.216,0.034,-0.034,0,2012
764,0.211,0.033,-0.033,0,2012
766,0.357,0.162,-0.162,0,2012
767,0.477,0.218,-0.218,0,2012
770,0.252,0.037,-0.037,0,2012
771,0.211,0.031,-0.031,0,2012
773,0.199,0.009,-0.009,0,2012
774,0.211,0.010,-0.010,0,2012
778,0.176,0.009,-0.009,0,2012
779,0.194,0.009,-0.009,0,2012
1653,1.080,0.057,-0.057,0,2012
1658,1.150,0.040,-0.020,0,2012
1660,1.115,0.047,-0.047,0,2012
1662,1.270,0.030,-0.030,0,2012
1663,1.653,0.090,-0.083,0,2012
1664,1.300,0.050,-0.030,0,2012
1665,1.092,0.035,-0.033,0,2012
1666,0.916,0.017,-0.014,0,2012
1667,1.370,0.200,-0.200,0,2012
1668,0.775,0.068,-0.068,0,2012
1669,0.860,0.120,-0.120,0,2012
1670,1.240,0.030,-0.030,0,2012
1671,1.390,0.060,-0.060,0,2012
1672,1.430,0.100,-0.060,0,2012
1673,1.271,0.039,-0.039,0,2012
1675,1.390,0.090,-0.090,0,2012
1676,1.400,0.300,-0.200,0,2012
1678,1.460,0.130,-0.130,0,2012
1679,1.270,0.200,-0.200,0,2012
1682,1.210,0.020,-0.020,0,2012
1683,1.700,0.110,-0.110,0,2012
1684,2.090,0.140,-0.140,0,2012
1685,0.952,0.026,-0.027,0,2012
1689,1.490,0.160,-0.180,0,2012
1691,0.934,0.029,-0.029,0,2012
190,1.168,0.030,-0.030,0,2013
191,1.381,0.035,-0.035,0,2013
593,1.345,0.072,-0.072,0,2013
672,0.027,0.005,-0.007,0,2013
673,0.066,0.006,-0.007,0,2013
674,0.178,0.010,-0.012,0,2013
729,0.192,0.012,-0.012,0,2013
730,0.117,0.004,-0.004,0,2013
731,0.048,0.003,-0.003,0,2013
732,0.174,0.006,-0.006,0,2013
733,0.144,0.004,-0.004,0,2013
734,0.126,0.006,-0.006,0,2013
735,0.545,0.018,-0.018,0,2013
740,0.250,0.014,-0.014,0,2013
741,0.262,0.014,-0.014,0,2013
745,0.200,0.039,-0.026,0,2013
746,0.153,0.030,-0.021,0,2013
750,1.320,0.140,-0.140,0,2013
751,1.030,0.060,-0.060,0,2013
752,1.250,0.080,-0.080,0,2013
753,0.960,0.016,-0.016,0,2013
754,0.105,0.014,-0.008,0,2013
782,0.903,0.050,-0.050,0,2013
783,1.204,0.049,-0.049,0,2013
784,0.548,0.026,-0.026,0,2013
785,0.337,0.035,-0.032,0,2013
787,0.153,0.014,-0.014,0,2013
788,0.385,0.037,-0.037,0,2013
789,1.005,0.095,-0.095,0,2013
790,0.585,0.055,-0.055,0,2013
791,0.117,0.015,-0.015,0,2013
792,0.106,0.012,-0.012,0,2013
793,0.256,0.027,-0.027,0,2013
794,0.237,0.026,-0.026,0,2013
795,0.257,0.046,-0.046,0,2013
796,0.723,0.071,-0.071,0,2013
797,1.008,0.089,-0.089,0,2013
798,1.384,0.011,-0.054,0,2013
799,0.313,0.009,-0.009,0,2013
800,0.232,0.007,-0.007,0,2013
819,0.198,0.006,-0.006,0,2013
826,0.429,0.136,-0.136,0,2013
849,0.143,0.016,-0.016,0,2013
850,0.226,0.025,-0.025,0,2013
882,0.101,0.003,-0.003,0,2013
883,0.101,0.003,-0.003,0,2013
887,0.259,0.022,-0.022,0,2013
920,0.236,0.007,-0.007,0,2013
921,0.385,0.011,-0.011,0,2013
996,0.259,0.136,-0.027,0,2013
997,0.633,0.331,-0.064,0,2013
1150,0.500,0.211,-0.041,0,2013
1151,0.178,0.076,-0.015,0,2013
1244,0.259,0.113,-0.025,0,2013
1245,0.250,0.110,-0.024,0,2013
1246,0.261,0.065,-0.056,0,2013
1247,0.300,0.074,-0.064,0,2013
1251,0.384,0.153,-0.037,0,2013
1252,0.277,0.111,-0.027,0,2013
1259,0.219,0.089,-0.018,0,2013
1260,0.277,0.112,-0.022,0,2013
1320,0.321,0.080,-0.032,0,2013
1321,0.294,0.073,-0.029,0,2013
1327,0.285,0.107,-0.041,0,2013
1328,0.250,0.094,-0.037,0,2013
1374,0.205,0.086,-0.021,0,2013
1375,0.482,0.200,-0.048,0,2013
1428,0.277,0.127,-0.054,0,2013
1429,0.250,0.114,-0.048,0,2013
1526,0.312,0.114,-0.058,0,2013
1527,0.473,0.174,-0.088,0,2013
1555,0.253,0.005,-0.005,0,2013
1556,0.168,0.018,-0.018,0,2013
1596,0.941,0.036,-0.047,0,2013
1674,1.112,0.059,-0.059,0,2013
1681,1.270,0.048,-0.048,0,2013
108,1.007,0.044,-0.044,0,2014
188,1.413,0.128,-0.077,0,2014
594,1.193,0.130,-0.077,0,2014
634,0.196,0.008,-0.008,0,2014
637,0.149,0.035,-0.035,0,2014
638,0.248,0.057,-0.057,0,2014
644,0.095,0.005,-0.005,0,2014
645,0.215,0.013,-0.013,0,2014
657,0.407,0.099,-0.099,0,2014
687,0.146,0.082,-0.082,0,2014
692,0.182,0.010,-0.010,0,2014
696,0.143,0.006,-0.006,0,2014
697,0.139,0.007,-0.007,0,2014
702,0.865,0.045,-0.045,0,2014
705,0.174,0.019,-0.019,0,2014
708,0.189,0.094,-0.094,0,2014
711,0.136,0.007,-0.007,0,2014
714,0.142,0.008,-0.008,0,2014
715,0.138,0.021,-0.021,0,2014
716,0.142,0.009,-0.009,0,2014
723,0.262,0.125,-0.125,0,2014
757,0.677,0.121,-0.121,0,2014
758,0.300,0.062,-0.062,0,2014
761,0.155,0.018,-0.018,0,2014
762,0.146,0.019,-0.019,0,2014
765,0.108,0.024,-0.024,0,2014
768,0.158,0.024,-0.024,0,2014
769,0.220,0.033,-0.033,0,2014
772,0.173,0.012,-0.012,0,2014
775,0.123,0.024,-0.024,0,2014
776,0.232,0.044,-0.044,0,2014
777,0.196,0.038,-0.038,0,2014
780,0.107,0.017,-0.017,0,2014
781,0.113,0.018,-0.018,0,2014
801,0.134,0.003,-0.003,0,2014
803,0.313,0.013,-0.013,0,2014
805,0.305,0.008,-0.008,0,2014
806,0.238,0.020,-0.020,0,2014
807,0.132,0.012,-0.012,0,2014
809,0.178,0.020,-0.020,0,2014
810,0.132,0.007,-0.007,0,2014
811,0.118,0.004,-0.004,0,2014
812,0.196,0.004,-0.004,0,2014
813,0.144,0.004,-0.004,0,2014
814,0.524,0.130,-0.130,0,2014
815,0.119,0.030,-0.030,0,2014
816,0.042,0.002,-0.002,0,2014
817,0.052,0.002,-0.002,0,2014
818,0.105,0.004,-0.004,0,2014
820,0.079,0.003,-0.003,0,2014
821,0.301,0.008,-0.008,0,2014
822,0.459,0.012,-0.012,0,2014
823,0.277,0.047,-0.047,0,2014
824,0.279,0.049,-0.049,0,2014
825,0.319,0.054,-0.054,0,2014
827,0.144,0.030,-0.030,0,2014
828,0.073,0.010,-0.010,0,2014
829,0.223,0.029,-0.029,0,2014
830,0.085,0.012,-0.012,0,2014
831,0.228,0.029,-0.029,0,2014
832,0.139,0.005,-0.005,0,2014
833,0.161,0.016,-0.016,0,2014
834,0.095,0.005,-0.005,0,2014
835,0.308,0.022,-0.022,0,2014
836,0.772,0.043,-0.043,0,2014
837,0.730,0.045,-0.045,0,2014
838,0.211,0.006,-0.006,0,2014
839,0.225,0.006,-0.006,0,2014
840,0.163,0.032,-0.032,0,2014
841,0.197,0.039,-0.039,0,2014
842,0.141,0.018,-0.018,0,2014
843,0.651,0.081,-0.081,0,2014
844,0.211,0.051,-0.051,0,2014
845,0.214,0.052,-0.052,0,2014
846,0.162,0.004,-0.004,0,2014
847,0.194,0.005,-0.005,0,2014
848,0.112,0.012,-0.012,0,2014
851,0.097,0.019,-0.019,0,2014
852,0.232,0.045,-0.045,0,2014
853,0.305,0.058,-0.058,0,2014
854,0.205,0.039,-0.039,0,2014
855,0.697,0.132,-0.132,0,2014
856,1.008,0.191,-0.191,0,2014
857,0.175,0.084,-0.084,0,2014
858,0.685,0.306,-0.306,0,2014
859,0.321,0.122,-0.122,0,2014
860,0.082,0.031,-0.031,0,2014
861,0.192,0.015,-0.015,0,2014
862,0.136,0.008,-0.008,0,2014
863,0.209,0.113,-0.113,0,2014
864,0.203,0.112,-0.112,0,2014
865,0.209,0.041,-0.041,0,2014
866,0.524,0.103,-0.103,0,2014
867,0.196,0.039,-0.039,0,2014
868,0.232,0.048,-0.048,0,2014
869,0.262,0.051,-0.051,0,2014
870,0.132,0.027,-0.027,0,2014
871,0.065,0.004,-0.004,0,2014
872,0.156,0.008,-0.008,0,2014
873,0.099,0.006,-0.006,0,2014
874,0.211,0.009,-0.009,0,2014
875,0.066,0.004,-0.004,0,2014
876,0.136,0.009,-0.009,0,2014
877,0.141,0.012,-0.012,0,2014
878,0.223,0.004,-0.004,0,2014
879,0.125,0.004,-0.004,0,2014
880,0.237,0.012,-0.012,0,2014
881,0.236,0.012,-0.012,0,2014
884,0.211,0.019,-0.019,0,2014
885,0.227,0.009,-0.009,0,2014
886,0.091,0.004,-0.004,0,2014
888,0.146,0.014,-0.014,0,2014
889,0.215,0.018,-0.018,0,2014
890,0.075,0.006,-0.006,0,2014
891,0.108,0.021,-0.021,0,2014
892,0.114,0.022,-0.022,0,2014
893,0.138,0.027,-0.027,0,2014
894,0.157,0.027,-0.027,0,2014
895,0.253,0.043,-0.043,0,2014
896,0.178,0.035,-0.035,0,2014
897,0.112,0.022,-0.022,0,2014
898,0.161,0.031,-0.031,0,2014
899,0.103,0.021,-0.021,0,2014
900,0.183,0.034,-0.034,0,2014
901,0.178,0.033,-0.033,0,2014
902,0.131,0.010,-0.010,0,2014
903,0.168,0.012,-0.012,0,2014
904,0.054,0.004,-0.004,0,2014
905,0.144,0.014,-0.013,0,2014
906,0.144,0.014,-0.013,0,2014
907,0.262,0.051,-0.051,0,2014
908,0.302,0.062,-0.062,0,2014
909,0.144,0.028,-0.028,0,2014
910,0.161,0.031,-0.031,0,2014
911,0.062,0.004,-0.004,0,2014
