rowid,kepoi_name,Planet (earth radi)
1,K04232.01,1.168634393
2,K04233.01,3.041401788
3,K04234.01,1.372325194
4,K04235.01,2.273529817
5,K04236.01,0.765230195
6,K04237.01,1.488283725
7,K04238.01,2.46157965
8,K04239.01,1.608527631
9,K04240.01,3.027644681
10,K04241.01,1.338688702
11,K02458.02,1.639962462
12,K04242.01,2.017075591
13,K04243.01,1.500010629
14,K04244.01,4.519124091
15,K04245.01,2.273129674
16,K04246.01,1.172051555
17,K04247.01,2.827758734
18,K04248.01,0.704728193
19,K04249.01,3.942043982
20,K04250.01,1.007653199
21,K04251.01,1.964766477
22,K02485.02,1.789950638
23,K04252.01,0.666352014
24,K04253.01,2.940462825
25,K04254.01,0.803704664
26,K04255.01,2.703980812
27,K04256.01,1.757246794
28,K04257.01,2.574400922
29,K04258.01,0.664488902
30,K04259.01,1.172690429
31,K04260.01,1.143640732
32,K04261.01,1.319427442
33,K02485.03,1.510890068
34,K04262.01,0.77463094
35,K04263.01,1.512056425
36,K04264.01,1.698978124
37,K04265.01,0.721524598
38,K04266.01,3.187362096
39,K04267.01,1.079458373
40,K04268.01,1.297407553
41,K04269.01,4.012789825
42,K04278.01,2.22927708
43,K04279.01,6.727298422
44,K04280.01,1.669165053
45,K02505.02,3.935269724
46,K04281.01,2.323429772
47,K04282.01,0.842921756
48,K04283.01,2.353571563
49,K04284.01,0.883967013
50,K04285.01,1.514952658
51,K04269.02,1.887258389
52,K04270.01,2.328125775
53,K02498.02,0.72224538
54,K04271.01,1.220524142
55,K04272.01,7.226953223
56,K04273.01,0.947708165
57,K04274.01,1.168660603
58,K04275.01,0.639694002
59,K04276.01,1.340460079
60,K04277.01,0.68354048
61,K00142.02,1.5101451
62,K04211.01,0.982786221
63,K04212.01,1.317687737
64,K00571.05,1.024820915
65,K02433.04,2.294233733
66,K04212.02,1.115879705
67,K04213.01,0.807232127
68,K04214.01,0.8543669
69,K04215.01,2.752273204
70,K04216.01,1.701547821
71,K04217.01,2.166277459
72,K04218.01,2.164530109
73,K04219.01,0.78508337
74,K04220.01,1.435885059
75,K04221.01,1.13385557
76,K02433.05,1.540671469
77,K04222.01,1.976733642
78,K04223.01,1.725552045
79,K04224.01,1.274678895
80,K04225.01,1.817571877
81,K04226.01,1.783001645
82,K04227.01,1.661664552
83,K04228.01,2.094068211
84,K04229.01,0.779995305
85,K04230.01,1.400099326
86,K04231.01,2.885093664
87,K02442.02,1.466463688
88,K00255.02,0.746336971
89,K00435.05,2.476903911
90,K02175.02,1.522271871
91,K04019.01,2.156776242
92,K04020.01,1.068465356
93,K04021.01,2.350193717
94,K04021.02,1.730385653
95,K04022.01,1.096361803
96,K04023.01,4.942926199
97,K04024.01,2.243401131
98,K04025.01,1.109086881
99,K04026.01,1.210695297
100,K04027.01,0.661088121
101,K02193.02,1.828602026
102,K04028.01,2.402606579
103,K04029.01,1.79689854
104,K04030.01,4.458779132
105,K04031.01,1.277610075
106,K04032.01,0.960398296
107,K00868.01,9.29841509
108,K00869.01,2.664709115
109,K00869.02,3.119020177
110,K00869.03,2.603551857
111,K00869.04,1.712403235
112,K00870.01,2.166910874
113,K00870.02,2.020592133
114,K00871.01,19.86704459
115,K00120.01,9.566742561
116,K00872.01,7.121325901
117,K00872.02,1.476554636
118,K00873.01,1.949387611
119,K00874.01,2.174577373
120,K00874.02,1.4607848
121,K00875.01,2.776539531
122,K00876.01,17.82078825
123,K04111.01,1.101924929
124,K04112.01,1.194696122
125,K04113.01,1.397006516
126,K04114.01,3.071343726
127,K04115.01,1.497852651
128,K00435.06,1.163036319
129,K02263.02,1.630995279
130,K04116.01,1.912999042
131,K04117.01,1.218121536
132,K04118.01,3.74697417
133,K04129.01,0.794306103
134,K04130.01,0.980890346
135,K04131.01,1.369244397
136,K04132.01,2.614035958
137,K04133.01,0.822516964
138,K04134.01,2.404353929
139,K04135.01,0.702216377
140,K02289.02,1.455357094
141,K04136.01,0.764807555
142,K04136.02,0.772260004
143,K00877.01,2.542918803
144,K00877.02,2.458587313
145,K00877.03,1.394713119
146,K00121.01,5.477768266
147,K00878.01,2.981416346
148,K00880.01,3.970853419
149,K00880.02,5.31150789
150,K00880.03,2.32550475
151,K00880.04,1.405524849
152,K00881.01,3.311665541
153,K00881.02,4.415554055
154,K00882.01,17.51390987
155,K00883.01,11.1197263
156,K00884.01,3.794807883
157,K00122.01,2.787875465
158,K04119.01,1.084937408
159,K04138.01,0.637420262
160,K04139.01,1.541423922
161,K04140.01,2.786477585
162,K04141.01,5.419242954
163,K04142.01,1.541905535
164,K04143.01,2.268934286
165,K04144.01,1.027946488
166,K02298.02,0.818169447
167,K04145.01,0.805441093
168,K04137.01,1.806814752
169,K04147.01,0.575543314
170,K04148.01,1.104270747
171,K04149.01,2.018971029
172,K04149.02,1.539939766
173,K04150.01,1.943839774
174,K04151.01,1.341148098
175,K04152.01,3.788220372
176,K04153.01,1.550180331
177,K02303.02,1.53122158
178,K00884.02,3.891348983
179,K00884.03,1.455542749
180,K00886.01,2.088433006
181,K00886.02,1.223691215
182,K00886.03,1.729483583
183,K00887.01,2.488226741
184,K00888.01,8.299913637
185,K00889.01,9.401399545
186,K00890.01,8.226743346
187,K00891.01,3.13114242
188,K00012.01,13.4622415
189,K00123.01,2.63301655
190,K00892.01,2.569915365
191,K00892.02,1.309202167
192,K00893.01,2.314791309
193,K04146.01,0.843113964
194,K04154.02,2.685502583
195,K04155.01,1.755945018
196,K04156.01,0.790579879
197,K04157.01,1.042119683
198,K04158.01,0.997267386
199,K04159.01,0.744194283
200,K04160.01,0.904430668
201,K04161.01,1.087758287
202,K04162.01,1.806050287
203,K04154.01,3.10788082
204,K04163.01,5.195920672
205,K04164.01,1.10556597
206,K04165.01,1.319686268
207,K00001.01,14.39731414
208,K00002.01,22.32998936
209,K00010.01,15.89180096
210,K00112.02,1.200231946
211,K00742.01,31.35401586
212,K00743.01,9.090261993
213,K00744.01,68.11389652
214,K00745.01,8.21167245
215,K00894.01,6.467816911
216,K00895.01,11.44267594
217,K00896.01,4.533827824
218,K00896.02,3.226176431
219,K00897.01,11.56920594
220,K00898.01,2.830587258
221,K00898.02,2.18094428
222,K00123.02,2.707977875
223,K00898.03,2.35992755
224,K00899.01,1.574318882
225,K00899.02,1.198201743
226,K00899.03,1.536707168
227,K00900.01,4.594329826
228,K00901.01,5.127118756
229,K02357.02,3.274325787
230,K04166.01,2.435871759
231,K04167.01,0.689373353
232,K04168.01,1.185675426
233,K04169.01,0.892616396
234,K04170.01,1.309239298
235,K04171.01,1.499597817
236,K04172.01,1.399033443
237,K02360.02,1.015510815
238,K04173.01,1.42140171
239,K00746.01,2.637406768
240,K00747.01,3.204596655
241,K00748.01,1.521286802
242,K00749.01,2.388409359
243,K00749.02,1.671886551
244,K00749.03,1.424199655
245,K00113.01,61.64651645
246,K00750.01,2.50589682
247,K00751.01,2.424339248
248,K00752.01,2.508321269
249,K00752.02,3.092154668
250,K00753.01,8.985748606
251,K00754.01,12.30505881
252,K00755.01,2.817602261
253,K00902.01,5.429563241
254,K00907.04,4.083011463
255,K00908.01,8.495835283
256,K00909.01,20.38502473
257,K00910.01,2.675630054
258,K00911.01,2.28247625
259,K00911.02,2.697471932
260,K00912.01,2.305628641
261,K00912.02,1.260494779
262,K00913.01,11.13031524
263,K00914.01,1.978164285
264,K00125.01,14.13960291
265,K00915.01,29.311975
266,K00916.01,3.978716495
267,K00917.01,4.204124676
268,K04174.01,1.449598482
269,K04184.01,1.323211547
270,K04185.01,2.068873604
271,K04186.01,0.708834467
272,K04187.01,1.361196757
273,K04188.01,1.438032116
274,K04189.01,6.267930965
275,K04190.01,0.692737002
276,K04191.01,1.445198436
277,K04192.01,1.535265604
278,K00756.01,4.141176384
279,K00756.02,2.836408118
280,K00756.03,1.560383764
281,K00114.01,3.776373338
282,K00757.01,4.800844783
283,K00757.02,3.264268666
284,K00757.03,2.125214729
285,K00758.01,2.713853341
286,K00759.01,4.165082319
287,K00759.02,2.556154982
288,K00760.01,10.89088457
289,K00761.01,2.850365078
290,K00762.01,2.460618607
291,K00763.01,12.52792241
292,K00918.01,10.10859587
293,K00919.01,26.60766656
294,K00920.01,2.936858915
295,K00921.01,2.512252807
296,K00921.02,2.915453875
297,K00921.03,1.667081338
298,K00922.01,2.248839758
299,K00126.01,20.01170335
300,K00923.01,3.184545811
301,K00924.01,3.876496506
302,K00925.01,32.60555547
303,K00926.01,3.530608526
304,K00927.01,57.92466044
305,K00928.01,2.561779265
306,K00929.01,8.723231075
307,K04202.01,2.751388608
308,K02433.03,2.606511431
309,K04203.01,1.15013869
310,K04204.01,1.513041493
311,K04205.01,0.883493044
312,K04206.01,0.573349297
313,K04207.01,0.637459578
314,K04208.01,1.676473345
315,K04209.01,2.552682123
316,K04210.01,3.004131899
317,K00115.01,3.379156944
318,K00764.01,4.683160744
319,K00765.01,2.767147523
320,K00766.01,4.019801068
321,K00767.01,12.03343321
322,K00768.01,7.128301105
323,K00769.01,2.328344194
324,K00770.01,4.984862605
325,K00771.01,15.74799403
326,K00772.01,13.20450734
327,K00773.01,2.290120908
328,K00115.02,1.910727487
329,K00774.01,15.72678557
330,K00775.01,1.933049886
331,K00903.01,7.444268988
332,K00904.01,1.584431672
333,K00904.02,1.564708456
334,K00124.01,3.014463107
335,K00904.03,1.768515019
336,K00904.04,1.334604271
337,K00904.05,1.676473345
338,K00905.01,4.903436084
339,K00906.01,2.299076078
340,K00906.02,2.523173746
341,K00906.03,0.995989636
342,K00907.01,3.640189228
343,K00907.02,3.821127346
344,K00907.03,1.660583379
345,K00124.02,3.594233917
346,K04175.01,1.264470001
347,K04176.01,3.300028189
348,K04177.01,0.955363743
349,K04178.01,1.831354102
350,K04179.01,1.236598672
351,K04180.01,0.846198037
352,K04181.01,0.972127385
353,K04182.01,0.863300228
354,K02365.02,1.460173228
355,K04183.01,0.880227683
356,K00775.02,2.214329591
357,K00775.03,1.956988584
358,K00776.01,5.53888184
359,K00777.01,8.149641517
360,K00778.01,1.61291348
361,K00779.01,12.09566072
362,K00780.01,2.019500039
363,K00780.02,2.129255476
364,K00115.03,0.639857816
365,K00781.01,2.992293601
366,K00782.01,5.466497857
367,K00783.01,4.354964686
368,K00784.01,1.925579964
369,K00784.02,1.985754338
370,K00785.01,2.802968203
371,K04032.02,0.809645654
372,K04033.01,2.935058108
373,K04034.01,2.372393802
374,K04035.01,22.06029677
375,K04036.01,2.269688923
376,K02194.02,1.813445946
377,K04037.01,2.686026788
378,K04038.01,2.136321324
379,K02420.02,0.937540771
380,K04193.01,3.89482621
381,K04194.01,1.446969812
382,K04195.01,0.58912787
383,K04196.01,1.13222835
384,K04197.01,1.134903981
385,K04198.01,0.630902646
386,K04199.01,0.856688691
387,K04200.01,2.186918034
388,K04201.01,2.350732119
389,K00786.01,1.885609327
390,K00787.01,2.787023632
391,K00787.02,3.382870064
392,K00788.01,3.004350318
393,K00116.01,2.478266845
394,K00789.01,2.128272592
395,K00790.01,2.460487556
396,K00790.02,2.394874554
397,K00791.01,7.084806281
398,K00792.01,7.808471383
399,K00793.01,2.757537097
400,K00794.01,2.168352438
