rowid,koi_pdisposition,koi_disposition,koi_prad,
1173,FALSE POSITIVE,FALSE POSITIVE,0.08,0
5605,FALSE POSITIVE,FALSE POSITIVE,0.23,0
3429,CANDIDATE,CANDIDATE,0.24,1
5704,FALSE POSITIVE,FALSE POSITIVE,0.3,0
4463,CANDIDATE,CANDIDATE,0.3043,1
2547,CANDIDATE,CONFIRMED,0.31,1
2034,CANDIDATE,CANDIDATE,0.32,1
4360,FALSE POSITIVE,FALSE POSITIVE,0.32,0
6196,FALSE POSITIVE,FALSE POSITIVE,0.346,0
2558,FALSE POSITIVE,FALSE POSITIVE,0.37,0
3551,FALSE POSITIVE,FALSE POSITIVE,0.37,0
4032,FALSE POSITIVE,FALSE POSITIVE,0.376,0
5869,NOT DISPOSITIONED,NOT DISPOSITIONED,0.387,0
3428,FALSE POSITIVE,FALSE POSITIVE,0.39,0
4494,FALSE POSITIVE,FALSE POSITIVE,0.4,0
4074,CANDIDATE,CANDIDATE,0.4101,1
5568,FALSE POSITIVE,FALSE POSITIVE,0.42,0
4115,CANDIDATE,CANDIDATE,0.421,1
3051,FALSE POSITIVE,FALSE POSITIVE,0.43,0
7239,NOT DISPOSITIONED,NOT DISPOSITIONED,0.437,0
4242,CANDIDATE,CANDIDATE,0.44,1
5591,FALSE POSITIVE,FALSE POSITIVE,0.45,0
4272,FALSE POSITIVE,FALSE POSITIVE,0.451,0
5649,FALSE POSITIVE,FALSE POSITIVE,0.46,0
2149,CANDIDATE,CANDIDATE,0.47,1
3912,FALSE POSITIVE,FALSE POSITIVE,0.47,0
5744,FALSE POSITIVE,FALSE POSITIVE,0.47,0
3873,CANDIDATE,CANDIDATE,0.4704,1
2681,CANDIDATE,CANDIDATE,0.48,1
4190,FALSE POSITIVE,FALSE POSITIVE,0.48,0
1908,FALSE POSITIVE,FALSE POSITIVE,0.49,0
4081,FALSE POSITIVE,FALSE POSITIVE,0.49,0
4890,FALSE POSITIVE,FALSE POSITIVE,0.49,0
4214,FALSE POSITIVE,FALSE POSITIVE,0.5,0
5668,FALSE POSITIVE,FALSE POSITIVE,0.5,0
4736,FALSE POSITIVE,FALSE POSITIVE,0.501,0
4187,CANDIDATE,CANDIDATE,0.5076,1
1928,CANDIDATE,CANDIDATE,0.51,1
2033,CANDIDATE,CANDIDATE,0.51,1
4350,FALSE POSITIVE,FALSE POSITIVE,0.51,0
5512,CANDIDATE,CANDIDATE,0.51,1
6455,NOT DISPOSITIONED,NOT DISPOSITIONED,0.519,0
557,CANDIDATE,CANDIDATE,0.52,1
6597,NOT DISPOSITIONED,NOT DISPOSITIONED,0.529,0
