# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,
# Wed Apr  9 09:26:45 2014,,,,,,,,,,
#,,,,,,,,,,
# COLUMN kepoi_name:     KOI Name,,,,,,,,,,
# COLUMN koi_ror:        Planet-Star Radius Ratio (val),,,,,,,,,,
# COLUMN koi_ror_err1:   Planet-Star Radius Ratio (upper unc),,,,,,,,,,
# COLUMN koi_ror_err2:   Planet-Star Radius Ratio (lower unc),,,,,,,,,,
# COLUMN koi_srad:       Stellar Radius (val),,,,,,,,,,
# COLUMN koi_srad_err1:  Stellar Radius (upper unc),,,,,,,,,,
# COLUMN koi_srad_err2:  Stellar Radius (lower unc),,,,,,,,,,
# COLUMN koi_sparprov:   Stellar Parameter Provenance,,,,,,,,,,
# COLUMN koi_vet_stat:   Vetting Status,,,,,,,,,,
# COLUMN koi_vet_date:   (not found),,,,,,,,,,
#,,,,,,,,,,
rowid,kepoi_name,koi_ror,koi_ror_err1,koi_ror_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_sparprov,koi_vet_stat,koi_vet_date
1,K04232.01,0.01117,5.22E-03,-5.22E-03,0.958,0.476,-0.476,q1_q16_stellar,Active,12/19/2013
2,K04233.01,0.03057,3.28E-03,-3.28E-03,0.911,0.476,-0.476,q1_q16_stellar,Active,12/19/2013
3,K04234.01,0.0122,1.11E-02,-1.11E-02,1.03,0.69,-0.69,q1_q16_stellar,Active,12/19/2013
4,K04235.01,0.01464,6.16E-03,-6.16E-03,1.422,1.019,-1.019,q1_q16_stellar,Active,12/19/2013
5,K04236.01,0.0143,1.70E-03,-1.70E-03,0.49,0,0,,Active,7/31/2013
6,K04237.01,0.01356,4.55E-03,-4.55E-03,1.005,0.726,-0.726,q1_q16_stellar,Active,12/19/2013
7,K04238.01,0.035,3.10E-02,-3.10E-02,0.644,0,0,,Active,7/31/2013
8,K04239.01,0.01283,5.27E-03,-5.27E-03,1.148,0.849,-0.849,q1_q16_stellar,Active,12/19/2013
9,K04240.01,0.0271,3.64E-02,-3.64E-02,1.023,0.694,-0.694,q1_q16_stellar,Active,12/19/2013
10,K04241.01,0.0135,1.15E-02,-1.15E-02,0.908,0.444,-0.444,q1_q16_stellar,Active,12/19/2013
11,K02458.02,0.01652,9.81E-03,-9.81E-03,0.909,0.532,-0.532,q1_q16_stellar,Active,12/19/2013
12,K04242.01,0.0186,4.27E-02,-4.27E-02,0.993,0.747,-0.747,q1_q16_stellar,Active,12/19/2013
13,K04243.01,0.00614,1.11E-03,-1.11E-03,2.237,0.976,-0.976,q1_q16_stellar,Active,12/19/2013
14,K04244.01,0.064758,9.05E-04,-9.05E-04,0.639,0.181,-0.181,q1_q16_stellar,Active,12/19/2013
15,K04245.01,0.013622,8.29E-04,-8.29E-04,1.528,0.406,-0.406,q1_q16_stellar,Active,12/19/2013
16,K04246.01,0.00869,9.40E-03,-9.40E-03,1.235,0.618,-0.618,q1_q16_stellar,Active,12/19/2013
17,K04247.01,0.0274,1.46E-02,-1.46E-02,0.945,0.413,-0.413,q1_q16_stellar,Active,12/19/2013
18,K04248.01,0.0054,1.20E-03,-1.20E-03,1.195,0,0,,Active,9/5/2013
19,K04249.01,0.0413,4.10E-03,-4.10E-03,0.874,0,0,,Active,7/31/2013
20,K04250.01,0.0099,1.39E-02,-1.39E-02,0.932,0.473,-0.473,q1_q16_stellar,Active,12/19/2013
21,K04251.01,0.01574,9.25E-03,-9.25E-03,1.143,0.449,-0.449,q1_q16_stellar,Active,12/19/2013
22,K02485.02,0.02168,2.35E-03,-2.35E-03,0.756,0.202,-0.202,q1_q16_stellar,Active,12/19/2013
23,K04252.01,0.0116,1.29E-02,-1.29E-02,0.526,0.1,-0.1,q1_q16_stellar,Active,12/19/2013
24,K04253.01,0.025,2.20E-02,-2.20E-02,1.077,0,0,,Active,6/6/2013
25,K04254.01,0.0037,3.50E-03,-3.50E-03,1.989,0,0,,Active,9/5/2013
26,K04255.01,0.0141,1.23E-02,-1.23E-02,1.756,1.225,-1.225,q1_q16_stellar,Active,12/19/2013
27,K04256.01,0.01911,2.27E-03,-2.27E-03,0.842,0.49,-0.49,q1_q16_stellar,Active,12/19/2013
28,K04257.01,0.013371,9.30E-04,-9.30E-04,1.763,0.764,-0.764,q1_q16_stellar,Active,12/19/2013
29,K04258.01,0.00439,8.40E-04,-8.40E-04,1.386,0,0,,Active,9/5/2013
30,K04259.01,0.0118,9.10E-03,-9.10E-03,0.91,0,0,,Active,6/6/2013
31,K04260.01,0.011,1.50E-02,-1.50E-02,0.952,0,0,,Active,7/31/2013
32,K04261.01,0.01181,4.15E-03,-4.15E-03,1.023,0.601,-0.601,q1_q16_stellar,Active,12/19/2013
33,K02485.03,0.0183,1.54E-02,-1.54E-02,0.756,0.202,-0.202,q1_q16_stellar,Active,12/19/2013
34,K04262.01,0.00646,3.00E-03,-3.00E-03,1.098,0.771,-0.771,q1_q16_stellar,Active,12/19/2013
35,K04263.01,0.00617,4.49E-03,-4.49E-03,2.244,1.117,-1.117,q1_q16_stellar,Active,12/19/2013
36,K04264.01,0.01923,8.11E-03,-8.11E-03,0.809,0.414,-0.414,q1_q16_stellar,Active,12/19/2013
37,K04265.01,0.0083,1.20E-02,-1.20E-02,0.796,0.498,-0.498,q1_q16_stellar,Active,12/19/2013
38,K04266.01,0.039333946,0.00E+00,0.00E+00,0.742,0,0,,Active,7/31/2013
39,K04267.01,0.0097,5.20E-03,-5.20E-03,1.019,0,0,,Active,6/6/2013
40,K04268.01,0.02,1.00E-01,-1.00E-01,0.594,0,0,,Active,6/6/2013
41,K04269.01,0.012,1.20E-02,-1.20E-02,3.062,1.306,-1.306,q1_q16_stellar,Active,12/19/2013
42,K04278.01,0.02433,1.97E-03,-1.97E-03,0.839,0.403,-0.403,q1_q16_stellar,Active,12/19/2013
43,K04279.01,0.0616,2.41E-02,-2.41E-02,1,0,0,Solar,Active,12/19/2013
44,K04280.01,0.01372,3.55E-03,-3.55E-03,1.114,0.782,-0.782,q1_q16_stellar,Active,12/19/2013
45,K02505.02,0.022663,6.97E-04,-6.97E-04,1.59,0.655,-0.655,q1_q16_stellar,Active,12/19/2013
46,K04281.01,0.025,2.70E-02,-2.70E-02,0.851,0,0,,Active,7/31/2013
47,K04282.01,0.0072,4.20E-03,-4.20E-03,1.072,0,0,,Active,7/31/2013
48,K04283.01,0.023,2.70E-02,-2.70E-02,0.937,0,0,,Active,7/31/2013
49,K04284.01,0.00803,6.00E-03,-6.00E-03,1.008,0.503,-0.503,q1_q16_stellar,Active,12/19/2013
50,K04285.01,0.016,2.20E-02,-2.20E-02,0.867,0,0,,Active,7/31/2013
51,K04269.02,0.0059,5.20E-03,-5.20E-03,2.929,0,0,,Active,6/6/2013
52,K04270.01,0.022,4.40E-02,-4.40E-02,0.969,0,0,,Active,7/31/2013
53,K02498.02,0.0086,2.08E-02,-2.08E-02,0.769,0.068,-0.068,q1_q16_stellar,Active,12/19/2013
54,K04271.01,0.011,3.60E-03,-3.60E-03,1.016,0,0,,Active,7/31/2013
55,K04272.01,0.0202,2.17E-03,-2.17E-03,3.276,1.684,-1.684,q1_q16_stellar,Active,12/19/2013
56,K04273.01,0.0077,1.27E-02,-1.27E-02,1.127,0.224,-0.224,q1_q16_stellar,Active,12/19/2013
57,K04274.01,0.0113,1.23E-02,-1.23E-02,0.947,0.563,-0.563,q1_q16_stellar,Active,12/19/2013
58,K04275.01,0.0071,2.40E-03,-2.40E-03,0.825,0,0,,Active,7/31/2013
59,K04276.01,0.01022,3.87E-03,-3.87E-03,1.201,0.538,-0.538,q1_q16_stellar,Active,12/19/2013
60,K04277.01,0.00579,1.68E-03,-1.68E-03,1.081,0.655,-0.655,q1_q16_stellar,Active,12/19/2013
61,K00142.02,0.017050528,0.00E+00,0.00E+00,0.811,0,0,,Active,7/31/2013
62,K04211.01,0.0099,4.70E-03,-4.70E-03,0.909,0,0,,Active,9/5/2013
63,K04212.01,0.0111,5.34E-03,-5.34E-03,1.087,0.765,-0.765,q1_q16_stellar,Active,12/19/2013
64,K00571.05,0.0204,5.30E-02,-5.30E-02,0.46,0.06,-0.06,q1_q16_stellar,Active,12/19/2013
65,K02433.04,0.01822,8.02E-03,-8.02E-03,1.153,0.873,-0.873,q1_q16_stellar,Active,12/19/2013
66,K04212.02,0.0094,1.72E-02,-1.72E-02,1.087,0.765,-0.765,q1_q16_stellar,Active,12/19/2013
67,K04213.01,0.0068,4.50E-03,-4.50E-03,1.087,0,0,,Active,9/5/2013
68,K04214.01,0.0088,2.20E-03,-2.20E-03,0.889,0,0,,Active,7/31/2013
69,K04215.01,0.0117,9.16E-03,-9.16E-03,2.154,1.172,-1.172,q1_q16_stellar,Active,12/19/2013
70,K04216.01,0.0217,1.28E-02,-1.28E-02,0.718,0.126,-0.126,q1_q16_stellar,Active,12/19/2013
71,K04217.01,0.01368,2.47E-03,-2.47E-03,1.45,1.496,-1.496,q1_q16_stellar,Active,12/19/2013
72,K04218.01,0.02,2.80E-02,-2.80E-02,0.991,0,0,,Active,7/31/2013
73,K04219.01,0.00833,7.12E-03,-7.12E-03,0.863,0.515,-0.515,q1_q16_stellar,Active,12/19/2013
74,K04220.01,0.0152,5.60E-03,-5.60E-03,0.865,0,0,,Active,7/31/2013
75,K04221.01,0.0112,1.35E-02,-1.35E-02,0.927,0.511,-0.511,q1_q16_stellar,Active,12/19/2013
76,K02433.05,0.0135,3.50E-03,-3.50E-03,1.045,0,0,,Active,7/31/2013
77,K04222.01,0.01223,4.98E-03,-4.98E-03,1.48,0.527,-0.527,q1_q16_stellar,Active,12/19/2013
78,K04223.01,0.0133,9.10E-03,-9.10E-03,1.188,0.876,-0.876,q1_q16_stellar,Active,12/19/2013
79,K04224.01,0.00902,2.23E-03,-2.23E-03,1.294,0.855,-0.855,q1_q16_stellar,Active,12/19/2013
80,K04225.01,0.017,2.80E-02,-2.80E-02,0.979,0,0,,Active,9/5/2013
81,K04226.01,0.01095,5.95E-03,-5.95E-03,1.491,0.417,-0.417,q1_q16_stellar,Active,12/19/2013
82,K04227.01,0.0158,1.50E-02,-1.50E-02,0.963,0.502,-0.502,q1_q16_stellar,Active,12/19/2013
83,K04228.01,0.0116,2.00E-03,-2.00E-03,1.653,0,0,,Active,7/31/2013
84,K04229.01,0.0067,6.50E-03,-6.50E-03,1.066,0,0,,Active,9/5/2013
85,K04230.01,0.00921,8.60E-03,-8.60E-03,1.392,0.573,-0.573,q1_q16_stellar,Active,12/19/2013
86,K04231.01,0.014,3.70E-02,-3.70E-02,1.887,0,0,,Active,7/31/2013
87,K02442.02,0.018,1.29E-02,-1.29E-02,0.746,0.212,-0.212,q1_q16_stellar,Active,12/19/2013
88,K00255.02,0.0134,1.47E-02,-1.47E-02,0.51,0.06,-0.06,q1_q16_stellar,Active,12/19/2013
89,K00435.05,0.02726,8.96E-03,-8.96E-03,0.832,0.473,-0.473,q1_q16_stellar,Active,12/19/2013
90,K02175.02,0.01866,5.00E-03,-5.00E-03,0.747,0.422,-0.422,q1_q16_stellar,Active,12/19/2013
91,K04019.01,0.029,3.20E-02,-3.20E-02,0.681,0,0,,Active,7/31/2013
92,K04020.01,0.00883,4.03E-03,-4.03E-03,1.108,0.636,-0.636,q1_q16_stellar,Active,12/19/2013
93,K04021.01,0.01111,2.16E-03,-2.16E-03,1.937,1.104,-1.104,q1_q16_stellar,Active,12/19/2013
