rowid,tce_prad,tce_prad_err,flag
11057,0.002158,6.48E+01,3
6150,0.01324,8.77E+00,3
9967,0.03901,9.31E+02,3
4009,0.04188,1.87E+00,2
15012,0.04207,7.03E+00,3
7629,0.04261,1.65E+03,3
11263,0.043,0.00E+00,0
4131,0.05076,7.03E+00,3
4287,0.05304,0.00E+00,0
4130,0.08683,4.02E-01,0
1976,0.1056,8.02E+00,3
4285,0.1129,3.32E-01,0
4237,0.1347,5.52E-01,0
11222,0.137,7.07E-01,1
2803,0.1429,1.18E+02,3
2237,0.1431,9.34E+02,3
4286,0.1611,3.31E-01,0
4284,0.1735,1.93E+00,2
4236,0.2022,3.56E-01,0
11261,0.2231,9.56E-02,0
8789,0.2365,1.42E-01,0
13868,0.248,9.88E-01,0
5690,0.2497,3.07E+00,2
13454,0.253,2.11E+01,3
5691,0.2644,9.68E-01,0
11262,0.2695,1.42E+00,1
7148,0.2763,4.98E+00,2
4180,0.2765,4.74E-01,0
5859,0.2876,3.90E+00,2
4181,0.2955,0.00E+00,0
9874,0.2966,1.44E+00,0
6158,0.2975,3.78E-01,0
5302,0.3043,7.75E-02,0
14984,0.3116,2.97E+00,1
11005,0.3253,1.14E+00,0
14691,0.3257,1.53E-01,0
685,0.3458,1.26E-01,0
6353,0.3498,2.55E-01,0
8788,0.3517,5.56E-02,0
9242,0.3519,1.50E-01,0
14706,0.3535,4.93E-01,0
4817,0.3871,1.84E-01,0
13820,0.3879,3.66E+00,1
2962,0.3982,8.06E-02,0
12102,0.4065,2.09E-01,0
5251,0.4101,7.87E-02,0
15505,0.4186,2.23E-02,0
4407,0.4195,2.49E+01,3
5250,0.4207,1.78E-01,0
9365,0.4291,1.52E-01,0
14452,0.4323,1.33E+01,2
3366,0.4361,1.45E-01,0
8728,0.4369,2.76E-01,0
14346,0.4388,0.00E+00,0
11448,0.4432,6.83E+00,2
6920,0.4475,3.73E-01,0
16009,0.4481,0.00E+00,0
9243,0.4548,1.57E-02,0
7905,0.4574,1.21E+00,0
12982,0.4587,6.21E-01,0
1755,0.4615,1.27E-01,0
8630,0.465,2.14E-01,0
10826,0.4692,2.08E-01,0
5301,0.4704,6.99E-02,0
14021,0.4715,4.37E-01,0
11520,0.4817,1.68E-01,0
12748,0.4907,1.71E-01,0
8547,0.4915,3.87E-01,0
4806,0.493,7.47E-02,0
11754,0.496,0.00E+00,0
6977,0.5,1.13E-01,0
15436,0.5035,5.10E-02,0
11830,0.5043,1.93E-01,0
5249,0.5076,9.12E-02,0
8071,0.5105,1.73E-01,0
3162,0.5143,1.46E-01,0
6727,0.5151,4.39E-02,0
9807,0.5191,3.15E-01,0
16233,0.5196,5.35E-01,0
5637,0.5221,6.74E-02,0
11121,0.5243,8.46E-01,0
3812,0.5268,4.59E+00,1
10672,0.5283,3.34E-01,0
12111,0.5286,2.83E-01,0
14048,0.5298,5.28E-01,0
12015,0.534,7.57E-01,0
13311,0.539,7.87E-01,0
7034,0.5411,9.16E-01,0
219,0.5414,9.84E-02,0
11831,0.5478,1.53E-01,0
9665,0.5507,9.97E-01,0
15612,0.5517,2.93E-01,0
10227,0.5534,2.15E-01,0
9094,0.5542,2.92E-01,0
12048,0.5548,1.43E-01,0
9602,0.5553,6.07E-02,0
9603,0.558,6.52E-02,0
12935,0.5597,2.24E-01,0
5823,0.5601,3.66E-01,0
9885,0.5609,1.28E-01,0
5127,0.5626,3.06E-01,0
1705,0.5636,0.00E+00,0
4941,0.5641,2.05E-01,0
1979,0.5644,2.42E-01,0
1854,0.5646,1.46E-01,0
2088,0.5664,3.40E-01,0
4832,0.5674,1.59E+00,0
6728,0.5683,4.85E-02,0
10123,0.5722,2.25E+00,0
3161,0.5734,3.44E-01,0
8539,0.5752,4.81E-01,0
8358,0.5759,2.05E-01,0
11786,0.5765,1.49E-01,0
10409,0.5776,7.31E-01,0
4566,0.5816,4.51E-01,0
5144,0.5818,4.32E-01,0
15387,0.5832,8.94E-01,0
13478,0.5889,6.88E-01,0
11809,0.5892,1.64E-01,0
9869,0.5909,1.30E-01,0
15155,0.5913,6.75E-01,0
14108,0.5925,5.34E-01,0
5740,0.593,3.96E-01,0
13359,0.5936,1.75E-01,0
7948,0.5941,5.38E-02,0
11344,0.5993,6.09E-01,0
2467,0.6003,1.48E+02,3
12988,0.6006,1.22E+00,0
3758,0.6007,2.84E+00,0
2699,0.6027,4.74E-01,0
13465,0.6105,2.14E-01,0
11291,0.6109,2.46E+00,0
3872,0.6162,1.74E-01,0
12014,0.6162,1.00E-01,0
1733,0.619,2.71E-01,0
12955,0.619,3.37E-01,0
13065,0.6207,1.57E-01,0
5141,0.6249,1.55E-01,0
14467,0.6255,4.94E-02,0
3111,0.6256,5.57E-01,0
1873,0.6257,6.93E-01,0
7725,0.6284,1.18E+00,0
3481,0.6288,3.17E-01,0
16214,0.6296,3.81E-01,0
7949,0.6302,6.19E-02,0
11320,0.6311,5.84E-01,0
9667,0.6313,8.01E-01,0
5584,0.6316,4.64E-01,0
7449,0.6316,1.33E+00,0
13115,0.6316,4.03E-01,0
14368,0.6335,1.60E-01,0
11428,0.6343,5.52E-01,0
8842,0.6351,3.00E-01,0
15531,0.6355,1.58E+00,0
2519,0.6366,2.81E-01,0
11419,0.6367,4.66E-01,0
409,0.6368,2.65E-01,0
11652,0.6381,1.55E-01,0
12916,0.6391,1.31E-01,0
6626,0.6401,0.00E+00,0
14508,0.6417,9.96E+01,3
2902,0.6447,9.32E-02,0
14983,0.6496,5.52E-01,0
12569,0.6523,1.34E-01,0
5889,0.653,3.71E-01,0
12694,0.653,1.38E+00,0
11272,0.6537,2.95E-01,0
10490,0.6605,2.32E-01,0
14822,0.6606,1.99E+00,0
3285,0.6618,9.56E-01,0
3423,0.662,1.44E+00,0
14380,0.6639,8.18E-02,0
10987,0.6644,1.04E+00,0
14320,0.6646,1.69E-01,0
13587,0.6651,7.39E-01,0
9966,0.6659,1.61E-01,0
3948,0.6661,7.72E-01,0
16057,0.6669,4.67E-01,0
599,0.6692,1.93E-01,0
9886,0.6701,1.04E-01,0
14778,0.6701,8.69E-01,0
11427,0.6722,4.75E-01,0
7750,0.6736,8.30E-02,0
4920,0.6741,1.11E+00,0
646,0.6746,5.03E-01,0
7206,0.6753,1.53E+00,0
8631,0.6776,1.71E-01,0
12280,0.6797,8.43E-01,0
2034,0.6803,5.27E-01,0
5878,0.6803,3.36E-02,0
13623,0.6808,3.66E-01,0
2475,0.6814,7.03E-01,0
5692,0.6814,4.76E-01,0
13936,0.6814,6.88E-01,0
5777,0.6833,1.98E-01,0
15356,0.6847,7.47E-02,0
16275,0.686,2.63E-01,0
8056,0.6862,1.14E-01,0
6566,0.6863,9.88E-01,0
4055,0.6866,9.14E-01,0
14203,0.6866,2.69E-01,0
11405,0.6871,6.04E-01,0
15500,0.6882,5.37E-01,0
16166,0.6886,1.04E+00,0
1031,0.691,1.56E-01,0
2035,0.6913,2.27E-02,0
10982,0.6919,5.11E-01,0
3873,0.6937,3.02E-01,0
10356,0.6937,1.41E-01,0
1754,0.6956,3.37E-02,0
14466,0.6956,2.78E-01,0
4114,0.6964,2.99E-01,0
3949,0.6967,1.14E-01,0
8870,0.6972,1.08E+00,0
3314,0.6973,1.07E+00,0
8887,0.6978,2.07E-01,0
15143,0.6996,6.00E-01,0
10245,0.7045,4.78E-01,0
11481,0.7065,1.32E+00,0
2903,0.7066,2.61E-01,0
11687,0.7079,7.11E-01,0
1082,0.7116,3.95E-01,0
6068,0.7117,4.50E-01,0
11304,0.7117,6.86E-01,0
9189,0.713,6.64E-01,0
16072,0.7137,2.62E-01,0
9983,0.715,3.43E-01,0
3846,0.7154,2.49E-01,0
6210,0.7161,5.72E-01,0
2492,0.7195,3.81E-01,0
9036,0.7205,0.00E+00,0
4390,0.7207,4.19E-01,0
7122,0.7207,1.05E+00,0
2665,0.7215,1.87E-01,0
14916,0.7222,5.96E-01,0
7482,0.7242,2.40E-01,0
7988,0.7254,3.59E-01,0
4838,0.7258,1.75E+00,0
1246,0.7259,2.12E-01,0
5758,0.7259,1.07E+00,0
15919,0.7273,4.79E-01,0
12662,0.7288,1.03E-01,0
15388,0.7291,5.56E-01,0
183,0.7295,1.34E+00,0
13348,0.7303,6.27E-01,0
5800,0.7309,1.98E-01,0
14678,0.732,7.08E-02,0
422,0.7333,4.82E-01,0
10451,0.7335,3.12E-01,0
6790,0.7348,7.57E-01,0
4848,0.7349,2.13E-01,0
13133,0.7367,1.27E+02,3
1941,0.737,3.83E-01,0
15031,0.7377,3.31E-01,0
4816,0.7381,1.29E-01,0
14858,0.7398,9.21E-01,0
12162,0.7401,4.33E-01,0
824,0.7407,1.64E-01,0
11119,0.7411,4.90E-01,0
11919,0.7422,0.00E+00,0
5677,0.7435,4.88E-01,0
5890,0.7443,5.39E-01,0
6748,0.7444,8.16E-01,0
10213,0.7453,1.55E-01,0
10842,0.746,4.29E-01,0
11772,0.7467,8.82E-01,0
14746,0.7478,5.51E-02,0
9725,0.748,4.17E-01,0
3313,0.7506,2.06E-01,0
4837,0.7509,8.53E-01,0
11247,0.751,2.86E-01,0
10688,0.7512,7.30E-01,0
14699,0.7518,8.15E-01,0
6984,0.7519,2.98E-01,0
3813,0.7528,0.00E+00,0
13188,0.753,0.00E+00,0
10841,0.7535,1.51E-01,0
1892,0.7542,1.15E-01,0
5006,0.7542,2.19E-01,0
12697,0.7545,2.17E-01,0
1410,0.7548,2.30E-01,0
1624,0.7548,7.42E-01,0
11592,0.755,4.17E-01,0
10590,0.7558,6.51E-02,0
9210,0.7563,6.42E-01,0
16070,0.7569,6.73E-01,0
3941,0.7574,6.48E-01,0
9985,0.7585,2.18E-01,0
4482,0.759,4.99E-01,0
13205,0.7591,2.74E-01,0
11855,0.7593,6.01E-01,0
9476,0.7603,1.11E-01,0
9477,0.7618,8.49E-01,0
16183,0.7624,2.62E+02,3
2227,0.7628,1.01E+00,0
15550,0.7628,2.07E+01,2
5882,0.7638,5.44E-01,0
14579,0.7638,9.68E-02,0
6772,0.7643,3.34E-01,0
13285,0.7645,6.19E-02,0
14868,0.7649,1.32E+00,0
1996,0.7654,2.20E-01,0
10768,0.766,1.07E+00,0
12326,0.767,5.32E-01,0
14531,0.7677,3.30E-01,0
492,0.7692,2.58E+00,0
14947,0.77,4.21E-01,0
14687,0.7702,2.77E-01,0
6100,0.7706,2.62E-01,0
8626,0.771,2.16E+00,0
6771,0.7721,3.72E-01,0
3482,0.773,1.06E+00,0
12117,0.7732,5.99E-01,0
15318,0.7737,2.97E-01,0
12063,0.7744,3.59E-01,0
14760,0.775,1.30E+00,0
5316,0.7753,6.73E-01,0
9984,0.7765,6.73E-01,0
10111,0.7776,1.70E-01,0
11494,0.7783,4.23E-01,0
3452,0.7789,8.00E-01,0
2243,0.7793,0.00E+00,0
5618,0.7795,3.50E-01,0
417,0.7799,6.02E-01,0
13357,0.78,5.17E-01,0
11441,0.7808,4.53E-01,0
15948,0.7808,0.00E+00,0
4059,0.7819,1.19E+00,0
6940,0.7827,5.02E-01,0
184,0.7833,6.13E-01,0
10380,0.7839,3.74E-01,0
2354,0.7842,6.71E-01,0
10246,0.7843,1.93E-01,0
9360,0.7844,1.40E+00,0
5617,0.7848,5.49E-01,0
16071,0.7848,1.63E+00,0
5674,0.7862,1.69E+00,0
10286,0.7863,8.18E-01,0
3874,0.7864,6.78E-02,0
10055,0.7876,1.65E+00,0
9465,0.7877,1.22E+00,0
14298,0.7886,3.01E-01,0
15590,0.7892,7.61E-02,0
5317,0.7897,1.72E+00,0
4677,0.7902,4.50E-01,0
8782,0.7907,3.47E-01,0
14812,0.7907,1.24E-01,0
4792,0.7909,2.70E-02,0
15482,0.7914,1.31E+00,0
3802,0.7915,3.99E-01,0
4946,0.7915,1.53E+00,0
2444,0.7922,1.41E-01,0
13840,0.7922,7.23E-02,0
9106,0.7924,8.76E-01,0
16032,0.7933,3.50E-01,0
16085,0.7934,3.64E-01,0
6264,0.7936,4.62E-01,0
15652,0.794,1.15E-01,0
7115,0.7942,3.01E-01,0
8905,0.7944,7.19E-01,0
6567,0.7957,2.08E+00,0
12546,0.797,1.06E+00,0
14654,0.7971,4.36E-01,0
12036,0.7972,2.47E-01,0
12934,0.7977,3.97E-01,0
3902,0.7979,1.26E+00,0
6383,0.7983,7.24E-01,0
15655,0.7987,0.00E+00,0
3198,0.7988,1.15E-01,0
11160,0.7992,3.82E-01,0
15114,0.7993,3.39E+02,3
13462,0.8007,4.66E-01,0
10917,0.8031,4.49E-01,0
2115,0.8034,9.20E-01,0
5498,0.8038,5.07E-01,0
15477,0.8046,2.17E-01,0
1020,0.8051,1.06E+00,0
2779,0.8059,3.24E-01,0
8798,0.806,3.24E-01,0
14970,0.8064,3.50E-01,0
13223,0.8072,3.61E-01,0
5685,0.8074,7.10E-01,0
1297,0.8076,5.05E-01,0
3430,0.8079,6.56E-01,0
6301,0.8084,6.58E-01,0
13101,0.8088,1.32E+00,0
6755,0.8095,4.98E-01,0
2597,0.8097,6.94E-01,0
9304,0.8097,4.47E-01,0
8403,0.811,1.13E-01,0
1206,0.8115,1.06E-01,0
11793,0.8116,0.00E+00,0
1346,0.8119,1.97E-01,0
10297,0.8125,1.95E-01,0
6577,0.8132,3.97E-01,0
5803,0.8148,1.87E-01,0
915,0.8149,4.09E-01,0
14411,0.8153,5.72E-01,0
7347,0.8155,1.64E+00,0
10718,0.816,1.73E-01,0
6706,0.817,5.64E-01,0
6470,0.8171,1.20E-01,0
10558,0.8174,1.11E+00,0
11406,0.8175,4.94E-01,0
15207,0.8176,8.13E+01,3
7699,0.8182,6.89E-01,0
