# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 13 15:10:37 2014
#
# CONSTRAINT:  where (pl_disc < 2014
# CONSTRAINT:  )
#
# COLUMN pl_radj:        Planet Radius (val)
# COLUMN pl_radjerr1:    Planet Radius (upper unc)
# COLUMN pl_radjerr2:    Planet Radius (lower unc)
# COLUMN pl_radjlim:     Planet Radius (limit flag)
# COLUMN pl_disc:        Year of Discovery
#
rowid,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_disc
407,,,,,1989
1599,,,,,1992
1600,,,,,1992
1601,,,,,1994
17,,,,,1995
8,,,,,1996
14,,,,,1996
18,,,,,1996
26,,,,,1996
60,,,,,1996
62,,,,,1996
59,,,,,1997
137,,,,,1998
478,,,,,1998
504,,,,,1998
538,,,,,1998
548,,,,,1998
63,,,,,1999
64,,,,,1999
110,,,,,1999
231,,,,,1999
338,,,,,1999
358,,,,,1999
424,,,,,1999
429,,,,,1999
489,,,,,1999
505,,,,,1999
514,,,,,1999
518,,,,,1999
537,1.380,0.017,-0.017,0,1999
560,,,,,1999
586,,,,,1999
46,,,,,2000
74,,,,,2000
138,,,,,2000
142,,,,,2000
237,,,,,2000
243,,,,,2000
262,,,,,2000
283,,,,,2000
284,,,,,2000
306,,,,,2000
314,,,,,2000
360,,,,,2000
466,,,,,2000
479,,,,,2000
481,,,,,2000
493,,,,,2000
15,,,,,2001
192,,,,,2001
202,,,,,2001
204,,,,,2001
257,,,,,2001
266,,,,,2001
286,,,,,2001
324,,,,,2001
343,0.980,0.030,-0.030,0,2001
408,,,,,2001
491,,,,,2001
542,,,,,2001
7,,,,,2002
20,,,,,2002
197,,,,,2002
220,,,,,2002
238,,,,,2002
268,,,,,2002
277,,,,,2002
278,,,,,2002
293,,,,,2002
309,,,,,2002
311,,,,,2002
313,,,,,2002
330,,,,,2002
333,,,,,2002
340,,,,,2002
349,,,,,2002
387,,,,,2002
392,,,,,2002
394,,,,,2002
409,,,,,2002
421,,,,,2002
434,,,,,2002
470,,,,,2002
480,,,,,2002
509,,,,,2002
519,,,,,2002
525,,,,,2002
545,,,,,2002
546,,,,,2002
582,,,,,2002
1589,1.363,0.092,-0.090,0,2002
50,,,,,2003
200,,,,,2003
213,,,,,2003
250,,,,,2003
259,,,,,2003
295,,,,,2003
320,,,,,2003
329,,,,,2003
332,,,,,2003
336,,,,,2003
337,,,,,2003
346,,,,,2003
347,,,,,2003
386,,,,,2003
401,,,,,2003
405,,,,,2003
415,,,,,2003
436,,,,,2003
443,,,,,2003
482,,,,,2003
510,,,,,2003
547,,,,,2003
1602,,,,,2003
19,,,,,2004
32,,,,,2004
35,3.000,0.500,-0.500,0,2004
70,,,,,2004
118,0.377,0.008,-0.009,0,2004
280,,,,,2004
294,,,,,2004
304,,,,,2004
356,,,,,2004
371,,,,,2004
411,,,,,2004
412,,,,,2004
453,,,,,2004
467,,,,,2004
468,,,,,2004
501,,,,,2004
507,,,,,2004
526,,,,,2004
536,,,,,2004
568,,,,,2004
1575,,,,,2004
1588,1.250,0.140,-0.120,0,2004
1590,1.051,0.057,-0.052,0,2004
1591,1.093,0.028,-0.019,0,2004
1592,1.200,0.150,-0.110,0,2004
1611,1.067,0.022,-0.021,0,2004
30,,,,,2005
120,,,,,2005
121,,,,,2005
122,,,,,2005
123,,,,,2005
139,,,,,2005
198,,,,,2005
203,,,,,2005
234,,,,,2005
235,,,,,2005
239,,,,,2005
264,,,,,2005
275,,,,,2005
279,,,,,2005
312,,,,,2005
317,,,,,2005
323,,,,,2005
334,,,,,2005
344,,,,,2005
361,,,,,2005
370,,,,,2005
376,,,,,2005
377,,,,,2005
391,,,,,2005
395,,,,,2005
399,,,,,2005
413,,,,,2005
422,,,,,2005
439,,,,,2005
446,0.813,0.027,-0.025,0,2005
447,,,,,2005
474,,,,,2005
508,1.151,0.038,-0.038,0,2005
511,,,,,2005
541,,,,,2005
549,,,,,2005
572,,,,,2005
1576,,,,,2005
1578,,,,,2005
1,,,,,2006
36,1.051,0.136,-0.058,0,2006
48,,,,,2006
86,,,,,2006
136,,,,,2006
146,1.225,0.059,-0.059,0,2006
230,,,,,2006
254,,,,,2006
256,,,,,2006
260,,,,,2006
274,,,,,2006
318,,,,,2006
325,,,,,2006
326,,,,,2006
327,,,,,2006
352,,,,,2006
378,,,,,2006
451,,,,,2006
464,,,,,2006
469,,,,,2006
503,,,,,2006
506,,,,,2006
527,,,,,2006
561,,,,,2006
573,,,,,2006
595,1.272,0.041,-0.041,0,2006
1577,,,,,2006
1595,,,,,2006
1609,0.810,0.100,-0.100,0,2006
1610,1.130,0.210,-0.210,0,2006
1692,1.210,0.030,-0.030,0,2006
4,,,,,2007
22,,,,,2007
31,2.200,0.810,-0.600,0,2007
51,,,,,2007
53,,,,,2007
73,,,,,2007
115,,,,,2007
131,,,,,2007
147,1.157,0.073,-0.062,0,2007
148,0.827,0.055,-0.055,0,2007
149,1.274,0.049,-0.060,0,2007
150,1.260,0.050,-0.050,0,2007
151,1.330,0.061,-0.061,0,2007
201,,,,,2007
209,,,,,2007
232,,,,,2007
247,,,,,2007
248,1.087,0.007,-0.007,0,2007
300,,,,,2007
328,,,,,2007
339,,,,,2007
345,,,,,2007
375,,,,,2007
416,,,,,2007
426,,,,,2007
455,,,,,2007
456,,,,,2007
460,,,,,2007
477,,,,,2007
483,,,,,2007
484,,,,,2007
488,,,,,2007
512,,,,,2007
517,,,,,2007
521,,,,,2007
539,,,,,2007
554,,,,,2007
558,,,,,2007
562,,,,,2007
1559,0.890,0.070,-0.070,0,2007
1574,,,,,2007
1593,1.130,0.240,-0.080,0,2007
1594,1.360,0.180,-0.090,0,2007
1612,1.336,0.031,-0.037,0,2007
1613,1.799,0.063,-0.063,0,2007
1616,,,,,2007
1617,1.483,0.024,-0.034,0,2007
1618,1.117,0.082,-0.082,0,2007
1619,1.290,0.050,-0.070,0,2007
1620,1.413,0.020,-0.020,0,2007
1693,0.996,0.031,-0.018,0,2007
1694,1.217,0.073,-0.073,0,2007
2,,,,,2008
6,,,,,2008
9,,,,,2008
13,,,,,2008
28,,,,,2008
34,,,,,2008
45,,,,,2008
66,1.200,,,0,2008
67,1.664,,,0,2008
72,,,,,2008
87,1.490,0.080,-0.080,0,2008
88,1.466,0.042,-0.044,0,2008
89,1.010,0.070,-0.070,0,2008
90,1.190,0.060,-0.050,0,2008
135,,,,,2008
152,1.500,0.080,-0.060,0,2008
153,1.400,0.060,-0.060,0,2008
218,,,,,2008
233,,,,,2008
236,,,,,2008
244,,,,,2008
255,,,,,2008
287,,,,,2008
288,,,,,2008
289,,,,,2008
299,,,,,2008
302,,,,,2008
303,,,,,2008
305,,,,,2008
307,,,,,2008
308,,,,,2008
310,,,,,2008
315,,,,,2008
316,,,,,2008
331,,,,,2008
335,,,,,2008
379,,,,,2008
428,,,,,2008
432,,,,,2008
437,,,,,2008
440,,,,,2008
450,,,,,2008
452,,,,,2008
486,,,,,2008
492,,,,,2008
498,,,,,2008
499,,,,,2008
500,,,,,2008
502,,,,,2008
531,,,,,2008
567,,,,,2008
587,1.200,0.100,-0.100,0,2008
588,1.200,0.100,0.000,0,2008
589,1.200,0.100,0.000,0,2008
596,1.342,0.068,-0.068,0,2008
597,0.422,0.014,-0.014,0,2008
1560,,,,,2008
1561,,,,,2008
1579,,,,,2008
1580,,,,,2008
1587,1.610,0.040,-0.040,0,2008
1615,,,,,2008
1621,1.167,0.043,-0.043,0,2008
1623,1.330,0.093,-0.093,0,2008
1626,1.080,0.020,-0.020,0,2008
1627,1.005,0.032,-0.027,0,2008
1628,1.790,0.090,-0.090,0,2008
1630,1.281,0.075,-0.082,0,2008
1695,1.330,0.050,-0.050,0,2008
1696,1.109,0.050,-0.050,0,2008
5,,,,,2009
12,,,,,2009
16,,,,,2009
23,,,,,2009
24,,,,,2009
25,,,,,2009
33,,,,,2009
49,,,,,2009
71,0.920,0.390,-0.360,0,2009
75,,,,,2009
76,,,,,2009
79,,,,,2009
81,,,,,2009
82,,,,,2009
91,1.388,0.046,-0.047,0,2009
92,1.166,0.035,-0.035,0,2009
93,0.150,0.008,-0.008,0,2009
94,,,,,2009
96,1.050,0.040,-0.040,0,2009
114,,,,,2009
124,,,,,2009
141,0.203,0.007,-0.007,0,2009
154,0.959,0.029,-0.021,0,2009
155,1.271,0.079,-0.079,0,2009
156,,,,,2009
194,,,,,2009
206,,,,,2009
210,,,,,2009
214,,,,,2009
221,,,,,2009
222,,,,,2009
223,,,,,2009
242,,,,,2009
245,,,,,2009
246,,,,,2009
269,,,,,2009
272,,,,,2009
276,,,,,2009
285,,,,,2009
319,,,,,2009
350,,,,,2009
353,,,,,2009
354,,,,,2009
355,,,,,2009
357,,,,,2009
359,,,,,2009
363,,,,,2009
365,,,,,2009
383,,,,,2009
385,,,,,2009
400,,,,,2009
417,,,,,2009
418,,,,,2009
419,,,,,2009
420,,,,,2009
423,,,,,2009
430,,,,,2009
431,,,,,2009
441,,,,,2009
442,,,,,2009
444,,,,,2009
445,,,,,2009
448,,,,,2009
458,,,,,2009
475,,,,,2009
485,,,,,2009
487,,,,,2009
495,,,,,2009
496,,,,,2009
497,,,,,2009
513,,,,,2009
528,,,,,2009
532,,,,,2009
540,,,,,2009
543,,,,,2009
544,,,,,2009
564,,,,,2009
566,,,,,2009
569,,,,,2009
574,,,,,2009
581,,,,,2009
584,,,,,2009
598,0.357,0.019,-0.019,0,2009
599,1.431,0.041,-0.052,0,2009
600,1.323,0.026,-0.029,0,2009
601,1.478,0.050,-0.051,0,2009
1562,,,,,2009
1581,,,,,2009
1622,1.224,0.051,-0.052,0,2009
1629,1.389,0.045,-0.056,0,2009
1631,1.428,0.077,-0.077,0,2009
1632,1.008,0.083,-0.060,0,2009
1633,1.740,0.260,-0.230,0,2009
1634,1.165,0.057,-0.057,0,2009
1635,1.386,0.032,-0.032,0,2009
10,,,,,2010
11,,,,,2010
37,,,,,2010
38,,,,,2010
43,,,,,2010
65,,,,,2010
69,,,,,2010
95,0.570,0.020,-0.020,0,2010
97,0.970,0.070,-0.070,0,2010
98,1.430,0.030,-0.030,0,2010
99,1.440,0.130,-0.130,0,2010
100,0.885,0.014,-0.014,0,2010
101,1.090,0.070,-0.070,0,2010
132,,,,,2010
140,,,,,2010
144,,,,,2010
145,,,,,2010
157,1.150,0.052,-0.052,0,2010
158,1.072,0.043,-0.043,0,2010
159,1.289,0.066,-0.066,0,2010
160,1.010,0.029,-0.029,0,2010
161,,,,,2010
162,0.995,0.052,-0.052,0,2010
163,1.132,0.072,-0.072,0,2010
164,0.867,0.033,-0.033,0,2010
165,1.024,0.092,-0.092,0,2010
166,1.080,0.058,-0.058,0,2010
167,1.368,0.090,-0.090,0,2010
168,1.242,0.067,-0.067,0,2010
169,1.190,0.081,-0.056,0,2010
170,0.565,0.072,-0.032,0,2010
196,,,,,2010
219,,,,,2010
224,,,,,2010
225,,,,,2010
226,,,,,2010
227,,,,,2010
228,,,,,2010
229,,,,,2010
261,,,,,2010
265,,,,,2010
271,,,,,2010
282,,,,,2010
298,,,,,2010
301,,,,,2010
367,0.200,0.009,-0.008,0,2010
372,,,,,2010
380,,,,,2010
382,,,,,2010
396,,,,,2010
403,,,,,2010
404,,,,,2010
438,,,,,2010
459,,,,,2010
471,,,,,2010
472,,,,,2010
473,,,,,2010
490,,,,,2010
494,,,,,2010
523,,,,,2010
524,,,,,2010
550,,,,,2010
551,,,,,2010
571,,,,,2010
575,,,,,2010
579,1.220,,,0,2010
583,,,,,2010
590,,,,,2010
602,1.419,0.056,-0.058,0,2010
603,0.842,0.069,-0.069,0,2010
604,0.823,0.067,-0.067,0,2010
605,0.146,0.017,-0.012,0,2010
608,0.161,0.003,-0.004,0,2010
609,0.256,0.004,-0.005,0,2010
610,0.278,0.005,-0.006,0,2010
611,0.374,0.006,-0.008,0,2010
612,0.222,0.004,-0.006,0,2010
613,0.297,0.005,-0.007,0,2010
677,1.170,0.040,-0.040,0,2010
749,1.110,0.020,-0.020,0,2010
1565,,,,,2010
1566,,,,,2010
1604,1.164,0.045,-0.045,0,2010
1608,,,,,2010
1624,1.038,0.007,-0.047,0,2010
1636,1.070,0.060,-0.060,0,2010
1637,1.158,0.061,-0.038,0,2010
1638,0.962,0.047,-0.056,0,2010
1639,1.300,0.039,-0.038,0,2010
1640,1.220,0.060,-0.050,0,2010
1641,1.281,0.075,-0.075,0,2010
1642,0.792,0.056,-0.035,0,2010
1643,1.549,0.050,-0.050,0,2010
1644,1.180,0.070,-0.070,0,2010
1645,1.497,0.045,-0.045,0,2010
1646,1.220,0.110,-0.080,0,2010
1649,1.160,0.070,-0.060,0,2010
1650,1.094,0.029,-0.028,0,2010
1652,1.200,0.060,-0.060,0,2010
3,,,,,2011
21,0.178,0.012,-0.012,0,2011
39,,,,,2011
40,,,,,2011
41,,,,,2011
84,,,,,2011
85,,,,,2011
102,1.170,0.160,-0.140,0,2011
103,1.020,0.070,-0.070,0,2011
104,1.310,0.180,-0.180,0,2011
105,1.290,0.030,-0.030,0,2011
106,0.840,0.040,-0.040,0,2011
107,1.050,0.130,-0.130,0,2011
117,,,,,2011
125,,,,,2011
126,,,,,2011
171,1.020,0.070,-0.060,0,2011
172,1.212,0.113,-0.082,0,2011
173,1.107,0.136,-0.082,0,2011
174,1.340,0.065,-0.065,0,2011
175,1.070,0.240,-0.160,0,2011
176,1.789,0.025,-0.025,0,2011
177,1.686,0.045,-0.045,0,2011
178,1.197,0.128,-0.092,0,2011
179,1.332,0.098,-0.098,0,2011
180,1.264,0.071,-0.071,0,2011
181,1.178,0.077,-0.077,0,2011
195,,,,,2011
212,,,,,2011
215,,,,,2011
216,,,,,2011
217,,,,,2011
249,,,,,2011
251,,,,,2011
252,,,,,2011
253,,,,,2011
258,,,,,2011
