1.281,7.65457,2009,27
0.196096,NaN,2011,NaN
NaN,0.642621,2010,NaN
0.170247,0.0266149,2011,30
1.02,0.615135,2011,44
NaN,1.9075,2011,21
NaN,0.0622185,2007,22
0.255816,0.04247,2011,37
NaN,3.3748,2001,61
1.07,0.300201,2010,42
NaN,0.0477376,2006,41
1.22,0.578118,2011,29
NaN,4.02189,2007,100
NaN,1.94873,2011,80
NaN,2.12711,2010,101
NaN,0.212872,2011,56
NaN,0.187149,2009,58
NaN,9.4752,2002,81
NaN,0.0130582,2011,86
NaN,NaN,2011,NaN
0.0730903,NaN,2012,NaN
1.528,1.48481,2014,18
NaN,0.325341,2010,44
NaN,5.60495,2007,21
NaN,12.2603,2003,175
0.116766,NaN,2011,NaN
0.227293,NaN,2011,NaN
0.196987,NaN,2013,NaN
1.386,1.11405,2010,34
0.320884,0,2011,NaN
NaN,0.385706,2010,50
NaN,1.31967,2000,54
NaN,0.338157,2011,52
NaN,13.1868,2011,15
NaN,3.34549,2009,58
1.267,10.0636,2009,37
1.166,2.95325,2010,14
NaN,3.06257,2009,39
NaN,1.17965,2004,30
NaN,3.1741,2003,50
NaN,1.51929,2009,43
0.230858,NaN,2013,NaN
NaN,0.807324,2012,113
NaN,1.90944,2003,28
1.286,1.52019,2012,18
0.126327,0.0142142,2011,40
NaN,0.346328,2014,23
NaN,0.0211468,2009,135
NaN,1.3057,2002,53
1.08,3.19034,2009,14
NaN,2.3,2013,NaN
1.932,0.507667,2010,44
1.01,0.530106,2012,37
NaN,4.47808,2011,20
NaN,2.20004,2007,47
NaN,1.10505,2002,88
NaN,0.00613456,2009,240
NaN,1.37669,2001,55
NaN,0.034879,2007,NaN
0.138158,NaN,2013,NaN
NaN,17.3857,2001,130
0.916,0.675475,2013,25
1.178,1.1719,2012,13
NaN,6.87654,2006,26
NaN,10.014,2013,24
0.320884,0,2011,NaN
2.037,0.950561,2011,15
NaN,0.0215524,2013,153
NaN,1.12925,2010,22
1.217,13.0547,2008,20
NaN,0.944758,2003,42
NaN,1.33352,2012,45
NaN,1.66194,2004,137
1.05,0.843564,2010,14
NaN,1.3637,2004,58
NaN,0.0982431,2011,58
NaN,2.43233,2011,21
1.008,0.839364,2009,30
NaN,1.51375,2011,24
NaN,NaN,2013,NaN
0.550851,NaN,2013,NaN
0.178,NaN,2011,NaN
NaN,5.13,2013,NaN
NaN,0.0416764,2011,117
1.7,0.884655,2012,0
NaN,0.410096,2012,99
0.784384,0,2011,NaN
NaN,0.368176,2005,16
NaN,0.501427,2011,39
NaN,8.18778,2000,92
NaN,NaN,1994,NaN
NaN,3.47646,2009,41
1.063,0.496749,2012,11
0.190748,NaN,2011,NaN
NaN,0.0736073,2011,139
NaN,6.52644,2011,42
1.685,0.799609,2012,24
0.0650682,NaN,2011,NaN
NaN,5.79721,2001,15
NaN,1.40487,2007,34
NaN,5.00638,2008,16
0.187182,NaN,2011,NaN
1.25,0.626643,2005,9
NaN,10.3722,2010,205
NaN,2.24099,2010,NaN
1.157,8.85612,2007,70
1.242,0.685652,2010,20
NaN,4.7347,2007,26
NaN,5.95,1997,98
NaN,0.790506,2010,97
NaN,NaN,2010,NaN
NaN,3.06805,2007,19
0.0918085,0,2011,NaN
NaN,3.73203,2009,39
0.257599,NaN,2011,NaN
0.1604,0.01352,2011,47
NaN,2.74209,2009,49
0.199661,NaN,2011,NaN
0.436759,0,2011,NaN
NaN,0.249652,2000,71
1.478,0.436942,2010,9
NaN,1.068,2013,27
1.3,1.08429,2010,28
1.107,0.778006,2011,10
0.387735,NaN,2012,NaN
NaN,1.60642,2012,36
NaN,4.39876,2002,51
NaN,0.0770689,2007,119
