# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 17 15:56:00 2014
#
# COLUMN pl_massj:       Planet Mass [jup] (val)
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc)
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc)
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag)
# COLUMN pl_msinij:      Planet M*sin(i) [jup] (val)
# COLUMN pl_msinijerr1:  Planet M*sin(i) [jup] (upper unc)
# COLUMN pl_msinijerr2:  Planet M*sin(i) [jup] (lower unc)
# COLUMN pl_msinijlim:   Planet M*sin(i) [jup] (limit flag)
# COLUMN st_dist:        Distance (val)
# COLUMN st_disterr1:    Distance (upper unc)
# COLUMN st_disterr2:    Distance (lower unc)
# COLUMN st_distlim:     Distance (limit flag)
# COLUMN pl_disc:        Year of Discovery
#
rowid,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_disc
1,,,,,7.10000,1.60000,-1.60000,0,77.40,4.03,-4.50,0,2006
2,,,,,2.21000,0.11000,-0.16000,0,56.95,2.36,-2.58,0,2008
3,,,,,2.60000,0.60000,-0.60000,0,19.84,0.27,-0.28,0,2011
4,,,,,19.40000,1.50000,-1.50000,0,110.62,9.61,-11.63,0,2007
5,,,,,10.50000,2.47000,-2.47000,0,119.47,6.22,-6.95,0,2009
6,,,,,4.80000,,,0,76.39,3.93,-4.38,0,2008
7,,,,,4.64000,0.19000,-0.19000,0,18.15,0.19,-0.20,0,2002
8,1.68000,0.15000,-0.15000,0,,,,,21.41,0.24,-0.24,0,1996
9,,,,,10.30000,,,0,73.10,3.56,-3.94,0,2008
10,,,,,1.99000,0.26000,-0.38000,0,74.79,4.57,-5.21,0,2010
11,,,,,0.86000,0.35000,-0.22000,0,74.79,4.57,-5.21,0,2010
12,,,,,9.88000,0.94000,-0.94000,0,39.43,1.64,-1.79,0,2009
13,,,,,3.88000,0.85000,-0.85000,0,97.28,4.34,-4.76,0,2008
14,,,,,2.53000,0.07000,-0.06000,0,14.08,0.13,-0.13,0,1996
15,,,,,0.54000,0.06600,-0.07300,0,14.08,0.13,-0.13,0,2001
16,,,,,1.64000,0.29000,-0.48000,0,14.08,0.13,-0.13,0,2009
17,,,,,0.47200,0.03900,-0.03900,0,15.36,0.18,-0.18,0,1995
18,,,,,0.80000,0.01200,-0.01200,0,12.53,0.13,-0.13,0,1996
19,,,,,0.16500,0.00540,-0.00540,0,12.53,0.13,-0.13,0,2004
20,,,,,3.53000,0.08000,-0.08000,0,12.53,0.13,-0.13,0,2002
21,0.02700,0.00100,-0.00100,0,,,,,12.53,0.13,-0.13,0,2011
22,,,,,0.17200,0.00800,-0.00800,0,12.53,0.13,-0.13,0,2007
23,,,,,0.01600,0.00200,-0.00200,0,8.52,0.05,-0.05,0,2009
24,,,,,0.05700,0.00300,-0.00300,0,8.52,0.05,-0.05,0,2009
25,,,,,0.07200,0.00800,-0.00800,0,8.52,0.05,-0.05,0,2009
26,7.49000,0.61000,-0.61000,0,,,,,18.11,0.24,-0.24,0,1996
27,3.00000,,,0,,,,,81.50,6.87,-8.27,0,2012
28,,,,,5.30000,,,0,97.18,8.37,-10.11,0,2008
29,,,,,3.20000,,,0,45.52,1.77,-1.92,0,2013
30,13.50000,0.50000,-0.50000,0,,,,,45.52,1.64,-1.76,0,2005
