1,NaN,7.1,77.4,2006
2,NaN,2.21,56.95,2008
3,NaN,2.6,19.84,2011
4,NaN,19.4,110.62,2007
5,NaN,10.5,119.47,2009
6,NaN,4.8,76.39,2008
7,NaN,4.64,18.15,2002
8,1.68,NaN,21.41,1996
9,NaN,10.3,73.1,2008
10,NaN,1.99,74.79,2010
11,NaN,0.86,74.79,2010
12,NaN,9.88,39.43,2009
13,NaN,3.88,97.28,2008
14,NaN,2.53,14.08,1996
15,NaN,0.54,14.08,2001
16,NaN,1.64,14.08,2009
17,NaN,0.472,15.36,1995
18,NaN,0.8,12.53,1996
19,NaN,0.165,12.53,2004
20,NaN,3.53,12.53,2002
21,0.027,NaN,12.53,2011
22,NaN,0.172,12.53,2007
23,NaN,0.016,8.52,2009
24,NaN,0.057,8.52,2009
25,NaN,0.072,8.52,2009
26,7.49,NaN,18.11,1996
27,3,NaN,81.5,2012
28,NaN,5.3,97.18,2008
29,NaN,3.2,45.52,2013
30,13.5,NaN,45.52,2005
31,17,NaN,165,2007
32,11,NaN,140,2004
33,NaN,6.05,NaN,2009
34,15.711,NaN,NaN,2008
35,20,NaN,139,2004
36,21.9987,NaN,18.39,2006
37,7.33,NaN,500,2010
38,2.3,NaN,500,2010
39,2.3,NaN,NaN,2011
40,6.3,NaN,NaN,2011
41,7.7,NaN,NaN,2011
42,NaN,4.2,NaN,2012
43,NaN,1.8,20.21,2010
44,NaN,0.0036,1.35,2012
45,8,NaN,19.28,2008
46,NaN,1.55,3.22,2000
47,6.7,NaN,70.42,2012
48,NaN,7.6,47.53,2006
49,NaN,8.78,38.52,2009
50,NaN,1.85,13.79,2003
51,1.6,NaN,31.12,2007
52,13.616,NaN,52.03,2012
53,NaN,2.8,62.66,2007
54,24,NaN,46.84,2012
55,27,NaN,46.84,2012
56,NaN,1.7,80.64,2013
57,1.5,NaN,84.03,2012
58,4.1,NaN,56.31,2012
59,NaN,1.04,17.43,1997
60,5.95,NaN,15.6,1996
61,NaN,20.6,92.51,2013
62,NaN,0.6876,13.47,1996
63,NaN,1.981,13.47,1999
64,NaN,4.132,13.47,1999
65,NaN,1.059,13.47,2010
66,2.6,NaN,7.69,2008
67,8,NaN,145,2008
68,24.5,NaN,36,2013
69,7.5,NaN,140,2010
70,4,NaN,52.4,2004
71,20.95,NaN,25,2009
72,NaN,5.1,37.54,2008
73,NaN,10.6,NaN,2007
74,0.458,NaN,80,2000
75,NaN,0.045,42.09,2009
76,NaN,0.33,42.09,2009
77,NaN,0.027,20.1,2013
78,NaN,0.17,20.1,2013
79,NaN,1.47,50.03,2009
80,NaN,1.11,175.44,2013
81,NaN,21.42,NaN,2009
82,NaN,12.47,NaN,2009
83,4.2,NaN,NaN,2012
84,NaN,0.91,NaN,2011
85,10.5,NaN,23.1,2011
86,12.569,NaN,NaN,2006
87,1.03,NaN,NaN,2008
88,3.47,NaN,200,2008
89,21.66,NaN,680,2008
90,0.72,NaN,NaN,2008
91,0.467,NaN,NaN,2009
92,2.96,NaN,NaN,2009
93,0.015,NaN,150,2009
94,0.026,NaN,150,2009
95,0.22,NaN,380,2010
96,0.84,NaN,460,2009
97,2.75,NaN,345,2010
98,2.33,NaN,560,2010
99,0.917,NaN,1150,2010
100,1.308,NaN,1060,2010
101,7.6,NaN,1340,2010
102,0.535,NaN,840,2011
103,2.43,NaN,920,2011
104,3.47,NaN,870,2011
105,1.11,NaN,770,2011
106,4.24,NaN,1230,2011
107,2.8,NaN,600,2011
108,10.39,NaN,NaN,2014
109,28.5,NaN,20.77,2013
110,NaN,3.91,10.91,1999
111,NaN,0.035,14.97,2013
112,NaN,0.024,14.97,2013
113,NaN,0.079,14.97,2013
114,NaN,0.82,12.12,2009
115,2.5,1.894,15.1,2007
116,NaN,2.3,20.03,2013
117,NaN,0.018,9.04,2011
118,0.0729,NaN,10.23,2004
119,4,NaN,17.95,2013
120,NaN,0.049,6.27,2005
121,NaN,0.017,6.27,2005
122,NaN,0.022,6.27,2005
123,NaN,0.006,6.27,2005
124,NaN,0.328,10.32,2009
125,NaN,0.018,6.8,2011
126,NaN,0.012,6.8,2011
127,NaN,0.016,6.8,2013
128,NaN,0.008,6.8,2013
129,NaN,0.008,6.8,2013
130,NaN,0.014,6.8,2013
131,NaN,0.035,4.54,2007
132,NaN,4.95,16.13,2010
133,NaN,0.014,16.13,2012
134,NaN,0.036,16.13,2012
135,NaN,0.64,4.94,2008
136,NaN,0.91,8.77,2006
137,2.2756,NaN,4.7,1998
138,0.7142,NaN,4.7,2000
139,0.021,NaN,4.7,2005
140,0.046,NaN,4.7,2010
141,0.02,NaN,NaN,2009
142,NaN,3.37,17.62,2000
143,0.044,NaN,25.2,2012
144,8.4,0.022,19.8,2010
