# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,
# Mon Mar 24 20:16:32 2014,,,,,,,,,,,,,
#,,,,,,,,,,,,,
# COLUMN pl_massj:       Planet Mass [jup] (val),,,,,,,,,,,,,
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc),,,,,,,,,,,,,
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc),,,,,,,,,,,,,
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag),,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius (val),,,,,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius (upper unc),,,,,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius (lower unc),,,,,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius (limit flag),,,,,,,,,,,,,
# COLUMN st_dist:        Distance (val),,,,,,,,,,,,,
# COLUMN st_disterr1:    Distance (upper unc),,,,,,,,,,,,,
# COLUMN st_disterr2:    Distance (lower unc),,,,,,,,,,,,,
# COLUMN st_distlim:     Distance (limit flag),,,,,,,,,,,,,
# COLUMN pl_disc:        Year of Discovery,,,,,,,,,,,,,
#,,,,,,,,,,,,,
rowid,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_disc
1,,,,,,,,,77.4,4.03,-4.5,0,2006
2,,,,,,,,,56.95,2.36,-2.58,0,2008
3,,,,,,,,,19.84,0.27,-0.28,0,2011
4,,,,,,,,,110.62,9.61,-11.63,0,2007
5,,,,,,,,,119.47,6.22,-6.95,0,2009
6,,,,,,,,,76.39,3.93,-4.38,0,2008
7,,,,,,,,,18.15,0.19,-0.2,0,2002
8,1.68,0.15,-0.15,0,,,,,21.41,0.24,-0.24,0,1996
9,,,,,,,,,73.1,3.56,-3.94,0,2008
10,,,,,,,,,74.79,4.57,-5.21,0,2010
11,,,,,,,,,74.79,4.57,-5.21,0,2010
12,,,,,,,,,39.43,1.64,-1.79,0,2009
13,,,,,,,,,97.28,4.34,-4.76,0,2008
14,,,,,,,,,14.08,0.13,-0.13,0,1996
15,,,,,,,,,14.08,0.13,-0.13,0,2001
16,,,,,,,,,14.08,0.13,-0.13,0,2009
17,,,,,,,,,15.36,0.18,-0.18,0,1995
18,,,,,,,,,12.53,0.13,-0.13,0,1996
19,,,,,,,,,12.53,0.13,-0.13,0,2004
20,,,,,,,,,12.53,0.13,-0.13,0,2002
21,0.027,0.001,-0.001,0,0.178,0.012,-0.012,0,12.53,0.13,-0.13,0,2011
22,,,,,,,,,12.53,0.13,-0.13,0,2007
23,,,,,,,,,8.52,0.05,-0.05,0,2009
24,,,,,,,,,8.52,0.05,-0.05,0,2009
25,,,,,,,,,8.52,0.05,-0.05,0,2009
26,7.49,0.61,-0.61,0,,,,,18.11,0.24,-0.24,0,1996
27,3,,,0,,,,,81.5,6.87,-8.27,0,2012
28,,,,,,,,,97.18,8.37,-10.11,0,2008
29,,,,,,,,,45.52,1.77,-1.92,0,2013
30,13.5,0.5,-0.5,0,,,,,45.52,1.64,-1.76,0,2005
31,17,6,-6,0,2.2,0.81,-0.6,0,165,30,-30,0,2007
32,11,10,-3,0,,,,,140,15,-15,0,2004
33,,,,,,,,,,,,,2009
34,15.711,,,0,,,,,,,,,2008
35,20,,,0,3,0.5,-0.5,0,139,45,-45,0,2004
36,21.9987,9.42803,-9.42803,0,1.051,0.136,-0.058,0,18.39,0.28,-0.29,0,2006
37,7.33,0.31,-0.31,0,,,,,500,,,0,2010
38,2.3,0.5,-0.5,0,,,,,500,,,0,2010
39,2.3,0.3,-0.3,0,,,,,,,,,2011
40,6.3,1.5,-1.5,-1,,,,,,,,,2011
41,7.7,1.2,-1.2,-1,,,,,,,,,2011
42,,,,,,,,,,,,,2012
43,,,,,,,,,20.21,0.4,-0.41,0,2010
44,,,,,,,,,1.35,0,0,0,2012
45,8,4,-2,0,,,,,19.28,0.19,-0.19,0,2008
46,,,,,,,,,3.22,0.01,-0.01,0,2000
47,6.7,0.3,-0.3,0,,,,,70.42,3.31,-3.65,0,2012
48,,,,,,,,,47.53,1.78,-1.93,0,2006
49,,,,,,,,,38.52,1.19,-1.27,0,2009
50,,,,,,,,,13.79,0.1,-0.1,0,2003
51,1.6,,,0,,,,,31.12,0.58,-0.6,0,2007
52,13.616,23.042,-1.047,0,,,,,52.03,1.7,-1.82,0,2012
53,,,,,,,,,62.66,3.73,-4.23,0,2007
54,24,,,0,,,,,46.84,1.67,-1.8,0,2012
55,27,,,0,,,,,46.84,1.67,-1.8,0,2012
56,,,,,,,,,80.64,4.48,-5.05,0,2013
57,1.5,,,0,,,,,84.03,4.92,-5.57,0,2012
58,4.1,,,0,,,,,56.31,1.99,-2.14,0,2012
59,,,,,,,,,17.43,0.21,-0.22,0,1997
60,5.95,0.28,-0.28,0,,,,,15.6,0.17,-0.17,0,1996
61,,,,,,,,,92.51,7.62,-9.12,0,2013
62,,,,,,,,,13.47,0.13,-0.13,0,1996
63,,,,,,,,,13.47,0.13,-0.13,0,1999
64,,,,,,,,,13.47,0.13,-0.13,0,1999
65,,,,,,,,,13.47,0.13,-0.13,0,2010
66,2.6,0.9,-0.9,0,1.2,,,0,7.69,0.05,-0.05,0,2008
67,8,4,-2,0,1.664,,,0,145,20,-20,0,2008
68,24.5,2.5,-2.5,0,,,,,36,4,-4,0,2013
69,7.5,2.5,-2.5,0,,,,,140,,,0,2010
70,4,1,-1,0,,,,,52.4,1.1,-1.1,0,2004
71,20.95,83.79,-20.95,0,0.92,0.39,-0.36,0,25,10,-10,0,2009
72,,,,,,,,,37.54,1.87,-2.08,0,2008
73,,,,,,,,,,,,,2007
74,0.458,0.039,-0.039,0,,,,,80,10,-10,0,2000
75,,,,,,,,,42.09,2.67,-3.06,0,2009
76,,,,,,,,,42.09,2.67,-3.06,0,2009
77,,,,,,,,,20.1,0.65,-0.69,0,2013
78,,,,,,,,,20.1,0.65,-0.69,0,2013
79,,,,,,,,,50.03,3.73,-4.38,0,2009
80,,,,,,,,,175.44,,,-1,2013
81,,,,,,,,,,,,,2009
82,,,,,,,,,,,,,2009
83,4.2,,,0,,,,,,,,,2012
84,,,,,,,,,,,,,2011
85,10.5,4.5,-4.5,0,,,,,23.1,2.4,-2.4,0,2011
86,12.569,8.379,-5.237,0,,,,,,,,,2006
87,1.03,0.12,-0.12,0,1.49,0.08,-0.08,0,,,,,2008
88,3.47,0.22,-0.22,0,1.466,0.042,-0.044,0,200,,,0,2008
89,21.66,1,-1,0,1.01,0.07,-0.07,0,680,160,-160,0,2008
90,0.72,0.08,-0.08,0,1.19,0.06,-0.05,0,,,,,2008
91,0.467,0.047,-0.024,0,1.388,0.046,-0.047,0,,,,,2009
92,2.96,0.34,-0.34,0,1.166,0.035,-0.035,0,,,,,2009
