pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,st_dist,st_disterr1,st_disterr2,pl_disc
NaN,NaN,NaN,NaN,NaN,NaN,77.4,4.03,-4.5,2006
NaN,NaN,NaN,NaN,NaN,NaN,56.95,2.36,-2.58,2008
NaN,NaN,NaN,NaN,NaN,NaN,19.84,0.27,-0.28,2011
NaN,NaN,NaN,NaN,NaN,NaN,110.62,9.61,-11.63,2007
NaN,NaN,NaN,NaN,NaN,NaN,119.47,6.22,-6.95,2009
NaN,NaN,NaN,NaN,NaN,NaN,76.39,3.93,-4.38,2008
NaN,NaN,NaN,NaN,NaN,NaN,18.15,0.19,-0.2,2002
1.68,0.15,-0.15,NaN,NaN,NaN,21.41,0.24,-0.24,1996
NaN,NaN,NaN,NaN,NaN,NaN,73.1,3.56,-3.94,2008
NaN,NaN,NaN,NaN,NaN,NaN,74.79,4.57,-5.21,2010
NaN,NaN,NaN,NaN,NaN,NaN,74.79,4.57,-5.21,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.43,1.64,-1.79,2009
NaN,NaN,NaN,NaN,NaN,NaN,97.28,4.34,-4.76,2008
NaN,NaN,NaN,NaN,NaN,NaN,14.08,0.13,-0.13,1996
NaN,NaN,NaN,NaN,NaN,NaN,14.08,0.13,-0.13,2001
NaN,NaN,NaN,NaN,NaN,NaN,14.08,0.13,-0.13,2009
NaN,NaN,NaN,NaN,NaN,NaN,15.36,0.18,-0.18,1995
NaN,NaN,NaN,NaN,NaN,NaN,12.53,0.13,-0.13,1996
NaN,NaN,NaN,NaN,NaN,NaN,12.53,0.13,-0.13,2004
NaN,NaN,NaN,NaN,NaN,NaN,12.53,0.13,-0.13,2002
0.027,0.001,-0.001,0.178,0.012,-0.012,12.53,0.13,-0.13,2011
NaN,NaN,NaN,NaN,NaN,NaN,12.53,0.13,-0.13,2007
NaN,NaN,NaN,NaN,NaN,NaN,8.52,0.05,-0.05,2009
NaN,NaN,NaN,NaN,NaN,NaN,8.52,0.05,-0.05,2009
NaN,NaN,NaN,NaN,NaN,NaN,8.52,0.05,-0.05,2009
7.49,0.61,-0.61,NaN,NaN,NaN,18.11,0.24,-0.24,1996
3,NaN,NaN,NaN,NaN,NaN,81.5,6.87,-8.27,2012
NaN,NaN,NaN,NaN,NaN,NaN,97.18,8.37,-10.11,2008
NaN,NaN,NaN,NaN,NaN,NaN,45.52,1.77,-1.92,2013
13.5,0.5,-0.5,NaN,NaN,NaN,45.52,1.64,-1.76,2005
17,6,-6,2.2,0.81,-0.6,165,30,-30,2007
11,10,-3,NaN,NaN,NaN,140,15,-15,2004
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009
15.711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2008
20,NaN,NaN,3,0.5,-0.5,139,45,-45,2004
21.9987,9.42803,-9.42803,1.051,0.136,-0.058,18.39,0.28,-0.29,2006
7.33,0.31,-0.31,NaN,NaN,NaN,500,NaN,NaN,2010
2.3,0.5,-0.5,NaN,NaN,NaN,500,NaN,NaN,2010
2.3,0.3,-0.3,NaN,NaN,NaN,NaN,NaN,NaN,2011
6.3,1.5,-1.5,NaN,NaN,NaN,NaN,NaN,NaN,2011
7.7,1.2,-1.2,NaN,NaN,NaN,NaN,NaN,NaN,2011
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012
NaN,NaN,NaN,NaN,NaN,NaN,20.21,0.4,-0.41,2010
NaN,NaN,NaN,NaN,NaN,NaN,1.35,0,0,2012
8,4,-2,NaN,NaN,NaN,19.28,0.19,-0.19,2008
NaN,NaN,NaN,NaN,NaN,NaN,3.22,0.01,-0.01,2000
6.7,0.3,-0.3,NaN,NaN,NaN,70.42,3.31,-3.65,2012
NaN,NaN,NaN,NaN,NaN,NaN,47.53,1.78,-1.93,2006
NaN,NaN,NaN,NaN,NaN,NaN,38.52,1.19,-1.27,2009
NaN,NaN,NaN,NaN,NaN,NaN,13.79,0.1,-0.1,2003
1.6,NaN,NaN,NaN,NaN,NaN,31.12,0.58,-0.6,2007
13.616,23.042,-1.047,NaN,NaN,NaN,52.03,1.7,-1.82,2012
NaN,NaN,NaN,NaN,NaN,NaN,62.66,3.73,-4.23,2007
24,NaN,NaN,NaN,NaN,NaN,46.84,1.67,-1.8,2012
27,NaN,NaN,NaN,NaN,NaN,46.84,1.67,-1.8,2012
NaN,NaN,NaN,NaN,NaN,NaN,80.64,4.48,-5.05,2013
1.5,NaN,NaN,NaN,NaN,NaN,84.03,4.92,-5.57,2012
4.1,NaN,NaN,NaN,NaN,NaN,56.31,1.99,-2.14,2012
NaN,NaN,NaN,NaN,NaN,NaN,17.43,0.21,-0.22,1997
5.95,0.28,-0.28,NaN,NaN,NaN,15.6,0.17,-0.17,1996
NaN,NaN,NaN,NaN,NaN,NaN,92.51,7.62,-9.12,2013
NaN,NaN,NaN,NaN,NaN,NaN,13.47,0.13,-0.13,1996
NaN,NaN,NaN,NaN,NaN,NaN,13.47,0.13,-0.13,1999
NaN,NaN,NaN,NaN,NaN,NaN,13.47,0.13,-0.13,1999
NaN,NaN,NaN,NaN,NaN,NaN,13.47,0.13,-0.13,2010
2.6,0.9,-0.9,1.2,NaN,NaN,7.69,0.05,-0.05,2008
8,4,-2,1.664,NaN,NaN,145,20,-20,2008
24.5,2.5,-2.5,NaN,NaN,NaN,36,4,-4,2013
