pl_orbper,pl_massj,pl_msinij,pl_radj,st_spstr,,OrbPeriod,MassorMsini(Emass),RadiusERadius,Type,,M = 1
,22,,0.934,T8.5,,NaN,6992.218926,10.22820708,0,,K = 2
246.36,28.5,,,L1.5,,246.36,9058.101791,NaN,0,,G = 3
7336.5,20.95,,0.92,M8.5,,7336.5,6658.499386,10.07489349,1,,all else = 0
,7.5,,,M8.5,,NaN,2383.710998,NaN,1,,
,4,,,M8,,NaN,1271.312532,NaN,1,,
1.58040482,0.02,,0.203,M4.5,,1.58040482,6.35656266,2.22304715,1,,
41.397,,0.298,,M4,,41.397,13157.13122,NaN,1,,
124.26,0.046,,,M4 V,,124.26,14.62009412,NaN,1,,
1.93778,0.021,,,M4 V,,1.93778,6.674390793,NaN,1,,
30.0881,0.7142,,,M4 V,,30.0881,226.9928526,NaN,1,,
61.1166,2.2756,,,M4 V,,61.1166,723.2496995,NaN,1,,
2288,,0.82,,M3.5 V,,2288,727190.7683,NaN,1,,
603,,0.079,,M3.5 V,,603,191650.3642,NaN,1,,
25.6,,0.024,,M3.5 V,,25.6,8136.400205,NaN,1,,
8.631,,0.035,,M3.5 V,,8.631,2743.174616,NaN,1,,
,12.569,,,M3.5,,NaN,3994.781804,NaN,1,,
,24.5,,,M3.5 V,,NaN,7786.789259,NaN,1,,
111.7,,2.1,,M3 V,,111.7,35501.40246,NaN,1,,
1845,,0.91,,M3 V,,1845,586392.9054,NaN,1,,
3.14942,,0.006,,M3 V,,3.14942,1000.974279,NaN,1,,
66.8,,0.022,,M3 V,,66.8,21230.91928,NaN,1,,
12.9292,,0.017,,M3 V,,12.9292,4109.263497,NaN,1,,
5.36874,,0.049,,M3 V,,5.36874,1706.336611,NaN,1,,
2.64561,8.4,0.022,,M2.5,,2.64561,2669.756317,NaN,1,,
4.6938,,0.035,,M2.5,,4.6938,1491.821691,NaN,1,,
2.64385,0.0729,,0.377,M2.5 V,,2.64385,23.1696709,4.128516135,1,,
692,2.5,1.894,,M2.5 V,,692,794.5703325,NaN,1,,
8.7836,,0.0265,,M2,,8.7836,2791.675189,NaN,1,,
672.1,,11.1,,M2 III,,672.1,213612.2882,NaN,1,,
1.3283,,18.37,,M2 V,,1.3283,422.1711091,NaN,1,,
3.33714,0.044,,0.37,M1.5,,3.33714,13.98443785,4.051859337,1,,
3416,,0.64,,M1.5,,3416,1085700.902,NaN,1,,
256.2,,0.014,,M1.5 V,,256.2,81427.56767,NaN,1,,
39.026,,0.008,,M1.5 V,,39.026,12403.56072,NaN,1,,
62.24,,0.008,,M1.5 V,,62.24,19781.623,NaN,1,,
91.61,,0.016,,M1.5 V,,91.61,29116.23526,NaN,1,,
28.14,,0.012,,M1.5 V,,28.14,8943.683663,NaN,1,,
7.2004,,0.018,,M1.5 V,,7.2004,2288.489689,NaN,1,,
598.3,,0.328,,M1.5,,598.3,190156.572,NaN,1,,
7.3709,,0.018,,M1.5,,7.3709,2342.679386,NaN,1,,
23.08933,0.003,,0.144,M1 V,,23.08933,0.953484399,1.57693985,1,,
13.78164,0.012,,0.144,M1 V,,13.78164,3.813937596,1.57693985,1,,
10.312364,,,0.054,M1 V,,10.312364,3277.559397,0.591352444,1,,
0.74296,,,0.072,M1 V,,0.74296,236.1335897,0.788469925,1,,
2.896,,,0.134,M1 V,,2.896,920.4302732,1.467430138,1,,
22.7802,,,0.241,M1 V,,22.7802,7240.188435,2.639184054,1,,
8.7522,0.5,,0.178,M1 V,,8.7522,158.9140665,1.94927287,1,,
5.90124,4.1,,0.196,M1 V,,5.90124,1303.095345,2.146390351,1,,
875.5,,9.9,,M1 III,,875.5,278258.5304,NaN,1,,
,13.5,,,M1,,NaN,4290.679796,NaN,1,,
4100,,2.3,,M1,,4100,1303095.345,NaN,1,,
,6.28536,,1.22,M0.5,,NaN,1997.664234,13.36018484,1,,
,11,,,M0.5,,NaN,3496.109463,NaN,1,,
,16,,,M0,,NaN,5085.250128,NaN,1,,
,10.5,,,M0,,NaN,3337.195397,NaN,1,,
,0.53,,,M,,NaN,168.4489105,NaN,1,,
2.455239,0.505,,0.96,M,,2.455239,160.5032072,10.51293233,1,,
1.865169,,,0.051,M,,1.865169,592.803181,0.55849953,1,,
0.45328509,,,0.065,M,,0.45328509,144.0667539,0.711813127,1,,
1.2137672,,,0.07,M,,1.2137672,385.7693631,0.766567983,1,,
58.43,,0.01133,,M0 V,,58.43,18570.69781,NaN,1,,
35.37,,0.036,,M0 V,,35.37,11241.58106,NaN,1,,
3.6,,0.014,,M0 V,,3.6,1144.181279,NaN,1,,
1050.3,,4.95,,M0 V,,1050.3,333814.8881,NaN,1,,
4343.5,,4.2,,M,,4343.5,1380486.496,NaN,1,,
125.94,,0.17,,K7/M0 V,,125.94,40027.27507,NaN,1,,
3.8728,,0.027,,K7/M0 V,,3.8728,1230.884793,NaN,1,,
3.0678504,0.554,,0.952,K7 V,,3.0678504,176.0767857,10.42532456,2,,
59.87756,,,0.192,K7 V,,59.87756,19030.7731,2.102586467,2,,
17337.5,,9,,K7 V k,,17337.5,5510345.256,NaN,2,,
,8,,1.664,K7 V,,NaN,2542.625064,18.22241604,2,,
,20,,3,K7e V,,NaN,6356.56266,32.85291354,2,,
7.919585,0.863,,0.775,K5 V,,7.919585,274.2856788,8.487002665,2,,
3.1606296,2.31,,0.941,K5 V,,3.1606296,734.1829872,10.30486388,2,,
