PER,TEFF,R,MSINI,MASS
day,k,rjupiter,mjupiter,mjupiter
7.958203,5851,0.095459,,
2.243752,6475,1.281,7.65457,7.69234
7.8125124,6058,0.196096,,
2605,,,0.642621,0.642621
3.6961219,5466,0.170247,0.0266149,0.0266646
3.039577,5190,1.02,0.615135,0.617485
3.137873,5333,0.113302,,
670,4811,,1.9075,1.9075
1.611865,5920,0.140066,,
3.8334999,5891,,0.0622185,0.0622185
13.0241,5663,0.255816,0.04247,0.00912437
133.71001,5536,,3.3748,3.3748
4.322482,5800,1.07,0.300201,0.300272
37.514456,5615,0.232849,,
7.267277,4048,0.119547,,
15.56,5695,,0.0477376,0.0477376
11.763051,4914,0.207869,,
13.98179,4880,0.174859,,
11.349393,5018,0.205192,,
14.51143,5376,0.130252,,
12.412183,5957,0.19181,,
23.968127,3750,0.178428,,
3.764825,5750,1.22,0.578118,0.57847
13.343058,4048,0.139174,,
3668,5852.73,,4.02189,4.02189
57.68802,6248,0.38362,,
6.04045,5123,0.115086,,
6.6264,5913,0.24177,,
47.332773,5265,0.220359,,
5.929778,5956,0.169507,,
613.8,5082,,1.94873,1.94873
44.236,5441,,2.12711,2.12711
225.7,4820,,0.212872,0.212872
226.93,5434,,0.187149,0.187149
8.486616,6169,0.12936,,
11.815007,5746,0.328308,,
6.849692,6509,0.121331,,
25.209715,6004,0.0811848,,
653.21997,5846.82,,9.4752,9.4752
29.726682,5818,0.415737,,
51.755394,5711,0.319386,,
3.543919,4486,0.095459,,
10.139623,4625,0.212329,,
4.6455,4850,,0.0130582,0.0130582
1970,,,,2.6
0.74296,3793,0.0730903,,
0.925542,6110,1.528,1.48481,1.48791
18.369917,5243,0.234633,,
3.38802,5551,0.19181,,
598.3,3700,,0.325341,0.325341
14.12841,6105,0.256044,,
140.101261,6158,0.252476,,
974,5885,,5.60495,5.60495
16.007583,5848,0.215006,,
20.134866,5235,0.212329,,
2146.0503,5674,,12.2603,12.2603
5.714932,4925,0.116766,,0
14.646008,5723,0.251584,,
47.427737,5128,0.199839,,
6.155557,5751,0.213222,,
10.9129343,3974,0.227293,,
42.1516418,4362,0.196987,,
0.78884,5500,1.386,1.11405,1.13339
92.876125,5797,0.220359,,
25.660593,5812,0.159693,,
12.282356,3933,0.320884,0,0
3.282807,5977,0.0981354,,
7.054346,4262,0.0918904,,
1244,5585,,0.385706,0.385706
4.645387,4613,0.146311,,
5.169796,4648,0.173075,,
4.393147,4796,0.12936,,
33.884054,5603,0.121331,,
3.292781,5684,0.13739,,
410.1,4752,,1.31967,1.31967
8.109044,5571,0.108841,,
363.2,5998,,0.338157,0.338157
12.31043,5178,0.124008,,
1319,5966,,13.1868,13.1868
7.542427,5593,0.150772,,
4.244384,5897,0.148987,,
157.54,4580,,3.34549,3.34549
6.124821,6090,0.139174,,
0.9414529,6400,1.267,10.0636,10.2006
8.886593,6090,1.166,2.95325,2.95364
29.393195,6106,0.237309,,
5.370647,5821,0.220359,,
1260,5317,,3.06257,3.06257
528.40002,5929.74,,1.17965,1.17965
3658,5919.51,,3.1741,3.1741
268.94,4814,,1.51929,1.51929
13.485,6187,0.230858,,0.10946
4.069427,4668,0.145419,,
1035.7,6150,,0.807324,0.807324
2068,5705.54,,1.90944,1.90944
4.1137912,6151,1.286,1.52019,1.52064
0.837495,5627,0.126327,0.0142142,0.0142824
16.259458,6092,0.132037,,
25.262887,6067,0.157909,,
18.794234,3682,0.164154,,
12.56093,5560,0.248907,,
10.613839,5818,0.185565,,
4.22864,6092,0.145419,,
6.958,5780,,0.346328,0.346328
38.715185,5752,0.248907,,
22.824669,6620,0.300651,,
9.62,4977,,0.0211468,0.0211468
350.3,6248.6,,1.3057,1.3057
2.382667,5180,0.232849,,
3.0927616,4675,1.08,3.19034,3.19144
4100,3900,,2.3,2.3
3.735433,6550,1.932,0.507667,0.508547
10.338523,5246,1.01,0.530106,0.530158
6.919798,5816,0.11241,,
54.155743,5804,0.34169,,
778.1,4745,,4.47808,4.47808
1178.4,5558,,2.20004,2.20004
21.853722,5841,0.146311,,
3.936981,5433,0.281916,,
5.470319,5828,0.0999197,,
493.7,5135.09,,1.10505,1.10505
3.14945,3498,,0.00613456,0.00613456
5.212333,3799,0.0918904,,
428.1,4781,,1.37669,1.37669
4.6938,3600,,0.034879,0.034879
11.6092567,5145,0.138158,,
1749.83,5491,,17.3857,17.3857
6.388996,5526,0.255152,,
17.340824,5886,0.132929,,
45.902733,4632,0.118655,,
2.838971,5600,0.916,0.675475,0.675887
2.79736,5500,1.178,1.1719,1.17362
49.567416,5574,0.220359,,
3.306539,3568,0.0972433,,
1001.7,5700,,6.87654,6.87654
875.5,4035,,10.014,10.014
8.180848,5211,0.206977,,
5.91213,4590,0.320884,0,0
20.17202,5274,0.685164,,
2.150009,6001,2.037,0.950561,0.950806
25.63058,,,0.0215524,0.0215524
507,4950,,1.12925,1.12925
3.1915426,6429,1.217,13.0547,13.2849
1114,5820.94,,0.944758,0.944758
37.993273,6050,0.231956,,
157.57,4801,,1.33352,1.33352
9.024389,5886,0.147203,,
386.29999,5901.98,,1.66194,1.66194
95.2738,5625,1.05,0.843564,0.843564
937.70001,4819.64,,1.3637,1.3637
47.84,5303,,0.0982431,0.0982431
763,4761,,2.43233,2.43233
26.84768,5502,0.290838,,
6.562331,5877,0.302436,,
3.1186009,5700,1.008,0.839364,0.842294
2.240508,4204,0.0945669,,
689,5155,,1.51375,1.51375
0,6080,,,
13.726976,5923,0.217682,,
15.79186,5770,0.211437,,
138.506,6407,0.550851,,
17.326644,4954,0.220359,,
39.792187,5417,0.178,,
931,6255,,5.13,5.13
9.6737,4908,,0.0416764,0.0416764
3.6623817,6600,1.7,0.884655,0.887514
3.179997,5851,0.139174,,
32.03,4640,,0.410096,0.410096
143.343,5498,0.784384,0,0.0726872
28.551383,4623,0.169507,,
143.58,4995,,0.368176,0.368176
466,5960,,0.501427,0.501427
16.85837,5036,0.238201,,
256.78,6234,,8.18778,8.18778
3066,5936.41,,3.47646,3.47646
4.9816877,5200,1.063,0.496749,0.496968
9.751962,6085,0.189134,,
4.778,5190,0.167707,0.0124219,0.0123966
525.8,5166,,0.0736073,0.0736073
533,4364,,6.52644,6.52644
2.694047,6390,1.685,0.799609,0.800254
0.45328509,3068,0.0650682,,
379,5656,,5.79721,5.79721
1214,5752,,1.40487,1.40487
163.94,5714,,5.00638,5.00638
35.676062,6165,0.297083,,
7.8773565,4075,0.187182,,
3.101278,5950,1.25,0.626643,0.62
4.57953,5852,0.14185,,
428.5,4428,,10.3722,10.3722
5571,,,2.24099,2.24099
5.6334729,6290,1.157,8.85612,8.87065
3.35524,6373,1.242,0.685652,0.685857
1405,6058,,4.7347,4.7347
3.312433,6387.49,,5.95,8.1356
13.821375,4984,0.156125,,
20.303005,5788,0.175752,,
1049,5836,,0.790506,0.790506
4.662715,5746,0.420198,,
,,,,0.0629
559.40487,5897,,3.06805,3.06805
19.57706,5466,0.0918085,0,0
17.790037,5574,0.251584,,
479.1,4200,,3.73203,3.73203
7.693641,6091,0.209653,,
