# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 12 12:23:22 2014
#
# COLUMN pl_orbper:      Orbital Period (val)
# COLUMN pl_orbpererr1:  Orbital Period (upper unc)
# COLUMN pl_orbpererr2:  Orbital Period (lower unc)
# COLUMN pl_orbperlim:   Orbital Period (limit flag)
# COLUMN pl_orbeccen:    Eccentricity (val)
# COLUMN pl_orbeccenerr1: Eccentricity (upper unc)
# COLUMN pl_orbeccenerr2: Eccentricity (lower unc)
# COLUMN pl_orbeccenlim: Eccentricity (limit flag)
# COLUMN pl_orbincl:     Inclination (val)
# COLUMN pl_orbinclerr1: Inclination (upper unc)
# COLUMN pl_orbinclerr2: Inclination (lower unc)
# COLUMN pl_orbincllim:  Inclination (limit flag)
# COLUMN pl_massj:       Planet Mass [jup] (val)
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc)
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc)
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag)
# COLUMN pl_msinij:      Planet M*sin(i) [jup] (val)
# COLUMN pl_msinijerr1:  Planet M*sin(i) [jup] (upper unc)
# COLUMN pl_msinijerr2:  Planet M*sin(i) [jup] (lower unc)
# COLUMN pl_msinijlim:   Planet M*sin(i) [jup] (limit flag)
# COLUMN pl_radj:        Planet Radius (val)
# COLUMN pl_radjerr1:    Planet Radius (upper unc)
# COLUMN pl_radjerr2:    Planet Radius (lower unc)
# COLUMN pl_radjlim:     Planet Radius (limit flag)
# COLUMN pl_dens:        Planet Density (val)
# COLUMN pl_denserr1:    Planet Density (upper unc)
# COLUMN pl_denserr2:    Planet Density (lower unc)
# COLUMN pl_denslim:     Planet Density (limit flag)
# COLUMN st_mass:        Stellar Mass (val)
# COLUMN st_masserr:     Stellar Mass (unc)
# COLUMN st_masslim:     Stellar Mass (limit flag)
# COLUMN st_massblend:   Stellar Mass (blend flag)
# COLUMN st_rad:         Stellar Radius (val)
# COLUMN st_raderr:      Stellar Radius (unc)
# COLUMN st_radlim:      Stellar Radius (limit flag)
# COLUMN st_radblend:    Stellar Radius (blend flag)
# COLUMN st_sp:          Spectral Type (val)
# COLUMN st_spstr:       Spectral Type
# COLUMN st_sperr:       Spectral Type (unc)
# COLUMN st_splim:       Spectral Type (limit flag)
# COLUMN st_spblend:     Spectral Type (blend flag)
#
rowid,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,st_sp,st_spstr,st_sperr,st_splim,st_spblend
1,269.30000000,1.96000000,-1.96000000,0,0.432000,0.024000,-0.024000,0,,,,,,,,,7.10000,1.60000,-1.60000,0,,,,,,,,,1.23,0.15,0,0,18.11,1.47,0,0,5.10,K1 III,,0,0
2,874.77400000,16.27000000,-8.47000000,0,0.059000,,,0,,,,,,,,,2.21000,0.11000,-0.16000,0,,,,,,,,,1.70,0.10,0,0,5.20,0.40,0,0,5.00,K0 IV,,0,0
3,763.00000000,17.00000000,-17.00000000,0,0.140000,0.060000,-0.060000,0,,,,,,,,,2.60000,0.60000,-0.60000,0,,,,,,,,,1.52,0.30,0,0,2.30,0.10,0,0,5.10,K1 III,,0,0
4,326.03000000,0.32000000,-0.32000000,0,0.231000,0.005000,-0.005000,0,,,,,,,,,19.40000,1.50000,-1.50000,0,,,,,,,,,2.70,0.30,0,0,19.00,2.00,0,0,4.80,G8 III,,0,0
5,516.22000000,3.25000000,-3.25000000,0,0.080000,0.030000,-0.030000,0,,,,,,,,,10.50000,2.47000,-2.47000,0,,,,,,,,,1.80,0.25,0,0,24.08,1.84,0,0,5.40,K4 III,,0,0
6,185.84000000,0.23000000,-0.23000000,0,0.000000,,,0,,,,,,,,,4.80000,,,0,,,,,,,,,2.20,0.10,0,0,11.00,1.00,0,0,5.00,K0 III,,0,0
7,1773.40000000,2.50000000,-2.50000000,0,0.369000,0.005000,-0.005000,0,,,,,,,,,4.64000,0.19000,-0.19000,0,,,,,,,,,0.90,,0,0,,,,,5.00,K0 V,,0,0
8,798.50000000,1.00000000,-1.00000000,0,0.681000,0.017000,-0.017000,0,,,,,1.68000,0.15000,-0.15000,0,,,,,,,,,,,,,1.00,0.05,0,0,,,,,4.25,G2.5 V,,0,0
9,993.30000000,3.20000000,-3.20000000,0,0.080000,0.010000,-0.010000,0,,,,,,,,,10.30000,,,0,,,,,,,,,2.30,,0,0,8.50,,0,0,4.60,G6 III,,0,0
10,452.80000000,2.10000000,-4.50000000,0,0.090000,0.140000,-0.060000,0,,,,,,,,,1.99000,0.26000,-0.38000,0,,,,,,,,,1.54,0.08,0,0,4.90,0.08,0,0,5.00,K0 IV,,0,0
11,883.00000000,32.40000000,-13.80000000,0,0.290000,0.160000,-0.090000,0,,,,,,,,,0.86000,0.35000,-0.22000,0,,,,,,,,,1.54,0.08,0,0,4.90,0.08,0,0,5.00,K0 IV,,0,0
12,335.10000000,2.50000000,-2.50000000,0,0.289000,0.092000,-0.092000,0,,,,,,,,,9.88000,0.94000,-0.94000,0,,,,,,,,,1.16,0.04,0,0,1.13,0.03,0,0,3.60,F6 V,,0,0
13,479.10000000,6.20000000,-6.20000000,0,0.380000,0.060000,-0.060000,0,,,,,,,,,3.88000,0.85000,-0.85000,0,,,,,,,,,0.98,0.05,0,0,22.03,1.00,0,0,5.15,K1.5 III,,0,0
14,1078.00000000,2.00000000,-2.00000000,0,0.032000,0.014000,-0.014000,0,,,,,,,,,2.53000,0.07000,-0.06000,0,,,,,,,,,1.03,0.05,0,0,1.23,,0,0,4.00,G0 V,,0,0
