rowid,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,st_sp,st_spstr,st_sperr,st_splim,st_spblend
1,269.3,1.96,-1.96,0,0.432,0.024,-0.024,0,nul,nul,nul,nul,nul,nul,nul,nul,7.1,1.6,-1.6,0,nul,nul,nul,nul,nul,nul,nul,nul,1.23,0.15,0,0,18.11,1.47,0,0,5.1,K1 III,nul,0,0
2,874.774,16.27,-8.47,0,0.059,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,2.21,0.11,-0.16,0,nul,nul,nul,nul,nul,nul,nul,nul,1.7,0.1,0,0,5.2,0.4,0,0,5,K0 IV,nul,0,0
3,763,17,-17,0,0.14,0.06,-0.06,0,nul,nul,nul,nul,nul,nul,nul,nul,2.6,0.6,-0.6,0,nul,nul,nul,nul,nul,nul,nul,nul,1.52,0.3,0,0,2.3,0.1,0,0,5.1,K1 III,nul,0,0
4,326.03,0.32,-0.32,0,0.231,0.005,-0.005,0,nul,nul,nul,nul,nul,nul,nul,nul,19.4,1.5,-1.5,0,nul,nul,nul,nul,nul,nul,nul,nul,2.7,0.3,0,0,19,2,0,0,4.8,G8 III,nul,0,0
5,516.22,3.25,-3.25,0,0.08,0.03,-0.03,0,nul,nul,nul,nul,nul,nul,nul,nul,10.5,2.47,-2.47,0,nul,nul,nul,nul,nul,nul,nul,nul,1.8,0.25,0,0,24.08,1.84,0,0,5.4,K4 III,nul,0,0
6,185.84,0.23,-0.23,0,0,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,4.8,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,2.2,0.1,0,0,11,1,0,0,5,K0 III,nul,0,0
7,1773.4,2.5,-2.5,0,0.369,0.005,-0.005,0,nul,nul,nul,nul,nul,nul,nul,nul,4.64,0.19,-0.19,0,nul,nul,nul,nul,nul,nul,nul,nul,0.9,nul,0,0,nul,nul,nul,nul,5,K0 V,nul,0,0
8,798.5,1,-1,0,0.681,0.017,-0.017,0,nul,nul,nul,nul,1.68,0.15,-0.15,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,1,0.05,0,0,nul,nul,nul,nul,4.25,G2.5 V,nul,0,0
9,993.3,3.2,-3.2,0,0.08,0.01,-0.01,0,nul,nul,nul,nul,nul,nul,nul,nul,10.3,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,2.3,nul,0,0,8.5,nul,0,0,4.6,G6 III,nul,0,0
10,452.8,2.1,-4.5,0,0.09,0.14,-0.06,0,nul,nul,nul,nul,nul,nul,nul,nul,1.99,0.26,-0.38,0,nul,nul,nul,nul,nul,nul,nul,nul,1.54,0.08,0,0,4.9,0.08,0,0,5,K0 IV,nul,0,0
