1,4 UMa,b,Radial Velocity,1,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,0.432,0.024,-0.024,0,nul,nul,nul,nul,nul,nul,nul,nul,7.1,1.6,-1.6,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.4,4.03,-4.5,0,4.61,nul,0,0,4415,70,0,0,1.23,0.15,0,0,18.11,1.47,0,0,HD 73108,HIP 42527,5.1,K1 III,nul,0,0
2,6 Lyn,b,Radial Velocity,1,874.774,16.27,-8.47,0,2.18,0.05,-0.06,0,0.059,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,2.21,0.11,-0.16,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,56.95,2.36,-2.58,0,5.88,nul,0,0,4978,18,0,0,1.7,0.1,0,0,5.2,0.4,0,0,HD 45410,HIP 31039,5,K0 IV,nul,0,0
3,7 CMa,b,Radial Velocity,1,763,17,-17,0,1.9,0.1,-0.1,0,0.14,0.06,-0.06,0,nul,nul,nul,nul,nul,nul,nul,nul,2.6,0.6,-0.6,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.84,0.27,-0.28,0,3.92,nul,0,0,4792,100,0,0,1.52,0.3,0,0,2.3,0.1,0,0,HD 47205,HIP 31592,5.1,K1 III,nul,0,0
4,11 Com,b,Radial Velocity,1,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,nul,nul,nul,nul,nul,nul,nul,nul,19.4,1.5,-1.5,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,9.61,-11.63,0,4.74,nul,0,0,4742,100,0,0,2.7,0.3,0,0,19,2,0,0,HD 107383,HIP 60202,4.8,G8 III,nul,0,0
5,11 UMi,b,Radial Velocity,1,516.22,3.25,-3.25,0,1.54,0.07,-0.07,0,0.08,0.03,-0.03,0,nul,nul,nul,nul,nul,nul,nul,nul,10.5,2.47,-2.47,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,6.22,-6.95,0,5.016,0.009,0,0,4340,70,0,0,1.8,0.25,0,0,24.08,1.84,0,0,HD 136726,HIP 74793,5.4,K4 III,nul,0,0
6,14 And,b,Radial Velocity,1,185.84,0.23,-0.23,0,0.83,nul,nul,0,0,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,4.8,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,3.93,-4.38,0,5.22,nul,0,0,4813,20,0,0,2.2,0.1,0,0,11,1,0,0,HD 221345,HIP 116076,5,K0 III,nul,0,0
7,14 Her,b,Radial Velocity,1,1773.4,2.5,-2.5,0,2.77,0.05,-0.05,0,0.369,0.005,-0.005,0,nul,nul,nul,nul,nul,nul,nul,nul,4.64,0.19,-0.19,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,0.19,-0.2,0,6.605,0.01,0,0,5311,87,0,0,0.9,nul,0,0,nul,nul,nul,nul,HD 145675,HIP 79248,5,K0 V,nul,0,0
8,16 Cyg B,b,Radial Velocity,1,798.5,1,-1,0,1.681,0.097,-0.097,0,0.681,0.017,-0.017,0,nul,nul,nul,nul,1.68,0.15,-0.15,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.24,-0.24,0,6.2,nul,0,0,5760,20,0,0,1,0.05,0,0,nul,nul,nul,nul,HD 186427,HIP 96901,4.25,G2.5 V,nul,0,0
9,18 Del,b,Radial Velocity,1,993.3,3.2,-3.2,0,2.6,nul,nul,0,0.08,0.01,-0.01,0,nul,nul,nul,nul,nul,nul,nul,nul,10.3,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.1,3.56,-3.94,0,5.506,0.009,0,0,4979,18,0,0,2.3,nul,0,0,8.5,nul,0,0,HD 199665,HIP 103527,4.6,G6 III,nul,0,0
10,24 Sex,b,Radial Velocity,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,nul,nul,nul,nul,nul,nul,nul,nul,1.99,0.26,-0.38,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,6.441,0.01,0,0,5098,44,0,0,1.54,0.08,0,0,4.9,0.08,0,0,HD 90043,HIP 50887,5,K0 IV,nul,0,0
11,24 Sex,c,Radial Velocity,2,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,nul,nul,nul,nul,nul,nul,nul,nul,0.86,0.35,-0.22,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,6.441,0.01,0,0,5098,44,0,0,1.54,0.08,0,0,4.9,0.08,0,0,HD 90043,HIP 50887,5,K0 IV,nul,0,0
12,30 Ari B,b,Radial Velocity,1,335.1,2.5,-2.5,0,0.995,0.012,-0.012,0,0.289,0.092,-0.092,0,nul,nul,nul,nul,nul,nul,nul,nul,9.88,0.94,-0.94,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,1.64,-1.79,0,6.962,0.011,0,0,6300,60,0,0,1.16,0.04,0,0,1.13,0.03,0,0,HD 16232,HIP 12184,3.6,F6 V,nul,0,0
13,42 Dra,b,Radial Velocity,1,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,0.38,0.06,-0.06,0,nul,nul,nul,nul,nul,nul,nul,nul,3.88,0.85,-0.85,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.34,-4.76,0,4.82,nul,0,0,4200,70,0,0,0.98,0.05,0,0,22.03,1,0,0,HD 170693,HIP 90344,5.15,K1.5 III,nul,0,0
14,47 UMa,b,Radial Velocity,3,1078,2,-2,0,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,nul,nul,nul,nul,nul,nul,nul,nul,2.53,0.07,-0.06,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.05,nul,0,0,5892,70,0,0,1.03,0.05,0,0,1.23,nul,0,0,HD 95128,HIP 53721,4,G0 V,nul,0,0
15,47 UMa,c,Radial Velocity,3,2391,100,-87,0,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,nul,nul,nul,nul,nul,nul,nul,nul,0.54,0.066,-0.073,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.05,nul,0,0,5892,70,0,0,1.03,0.05,0,0,1.23,nul,0,0,HD 95128,HIP 53721,4,G0 V,nul,0,0
